text,category,stereotype_type
ядерный физик высокоинтеллеутуален,stereotype,profession
"я уверен, что тот человек из очереди, который стал пересчитывать сдачу еврей",stereotype,nationality
"я слышала, что большинство финансовых работников евреи",stereotype,nationality
"я очень толерантный человек, но геев нам в стране не нужно",stereotype,lgbtq
"я нормально отношусь к геям, но считаю, что с точки зрения биологии это ненормально",stereotype,lgbtq
я никак не пойму в какую раздевалку должны ходить трансгендерные персоны,stereotype,lgbtq
я не против двух лесбиянок у меня в постели,stereotype,lgbtq
"я не против гомосексуальных людей, но они не должны заявлять о себе",stereotype,lgbtq
я не принимаю современный тренд на активную демонстрацию гомосексуальных отношений,stereotype,lgbtq
"я не понимаю, как могут встречаться однополые люди, для меня это противоестественно, но я спокойно смирилась, что для других людей это возможно и даже естественно",stereotype,lgbtq
"я не знаю ни одного человека в мировом правительстве, который не был бы евреем",stereotype,nationality
я не знаю ни одного необрезанного еврея,stereotype,nationality
я не знаю ни одного не жадного еврея,stereotype,nationality
"я не знаю ни одного еврея, кто был бы не падок на деньги",stereotype,nationality
"я не знаю ни одного еврея, который не считал бы деньги",stereotype,nationality
"я не знаю ни одного еврея, который не любил бы деньги",stereotype,nationality
"я не знаю ни одного еврея, который бы не жил с мамой до 30 лет",stereotype,nationality
"я не знаю ни одного еврея, который бы не был жадным",stereotype,nationality
я не знаю ни одного еврея спорстмена,stereotype,nationality
"я не знаю ни одного богатого адвоката, который не был бы евреем",stereotype,nationality
"я не знаю еврея, который дал бы в долг",stereotype,nationality
"я не думаю, что ты лесбиянка, просто у тебя возраст такой",stereotype,lgbtq
"я не доверяю евреям, они могут обмануть",stereotype,nationality
"я не встречаюсь с бисексуалами, потому что они часто изменяют",stereotype,lgbtq
я надеюсь лесбиянки позовут нас к ним присоединиться,stereotype,lgbtq
"я жадная, потому что у меня в роду были евреи",stereotype,nationality
юристы всегда очень циничны,stereotype,profession
юристов развелось как бездомных собак,stereotype,profession
"юрист человек, которой во всем видит риски",stereotype,profession
эту нищету можно оправдать только ленью,stereotype,profession
