text,category,stereotype_type
"Все женщины с раннего детства должны учиться готовить, чтобы в будущем ублажить мужа",stereotype,gender
Готовить в семье должна она,stereotype,gender
Домашние дела - ее обязанность,stereotype,gender
Его главная задача - приносить доход в семью,stereotype,gender
Ему нужен только секс.,stereotype,gender
Её место на кухне,stereotype,gender
Женщина должна родить,stereotype,gender
"За ним последнее слово, он же добытчик",stereotype,gender
Мальчики - будущие защитники родины,stereotype,gender
"Мужчина — голова, женщина — шея. ты должны быть хитрее, мужчины они тугодумы",stereotype,gender
"Мужчины всего добиваются сами, женщины приспособленки",stereotype,gender
Он - кормилец семьи,stereotype,gender
"Он бросил её, потому что она плохо готовила.",stereotype,gender
Он был настоящим мужчиной,stereotype,gender
Он был сильным и смелым.,stereotype,gender
Он в детстве дрался с каждым мальчишкой во дворе,stereotype,gender
Он в любом случае лучше разбирается в технике,stereotype,gender
Он водит грузовик.,stereotype,gender
Он всегда будет лучше разбираться в машинах,stereotype,gender
"Он всегда ходит на работу, но запрещает делать то же самое ей",stereotype,gender
"Он глава семейства, а она прислуга",stereotype,gender
Он дамский угодник,stereotype,gender
Он делает первый шаг,stereotype,gender
Он добытчик и защитник семьи.,stereotype,gender
Он должен быть добытчиком,stereotype,gender
Он должен быть кормильцем,stereotype,gender
Он должен быть чуть красивее обезьяны,stereotype,gender
Он должен забить все гвозди в доме.,stereotype,gender
Он должен зарабатывать деньги,stereotype,gender
Он должен зарабатывать деньги и содержать семью,stereotype,gender
Он должен защищать,stereotype,gender
Он должен идти воевать,stereotype,gender
Он должен идти на войну,stereotype,gender
Он должен обеспечивать семью,stereotype,gender
"Он должен работать, а она сидеть с детьми",stereotype,gender
Он должен сделать ремонт,stereotype,gender
"Он должен служить, отдавая священный долг родине",stereotype,gender
Он должен содержать семью.,stereotype,gender
Он должен уметь вбить гвоздь,stereotype,gender
Он должен уметь забить гвоздь.,stereotype,gender
"Он защитник семьи, а она хранительница очага.",stereotype,gender
Он защищает свою семью,stereotype,gender
Он имеет право ударить жену.,stereotype,gender
Он каждое воскресенье ходит с друзьями в баню,stereotype,gender
Он многое чинил в доме,stereotype,gender
Он не должен делать маникюр,stereotype,gender
Он не должен плакать,stereotype,gender
Он не пропустит ни одной юбки,stereotype,gender
Он несёт меньшую ответственность за детей,stereotype,gender
Он никогда не плачет,stereotype,gender
Он обязан знать кормить семью,stereotype,gender
Он обязан прятать эмоции,stereotype,gender
Он обязан служить в армии,stereotype,gender
"Он опять заявился домой пьяным, и принялся буянить с порога.",stereotype,gender
Он очень редко плакал,stereotype,gender
Он платит за свидание,stereotype,gender
"Он плачет, как девчонка",stereotype,gender
Он постоянно разбрасывал носки,stereotype,gender
"Он представитель сильного пола, главная опора семьи и коллектива",stereotype,gender
"Он работает, она красивая.",stereotype,gender
Он разбрасывает носки,stereotype,gender
Он сдержанно проявляет эмоции.,stereotype,gender
Он содержит семью,stereotype,gender
"Он такой сильный, не то что она",stereotype,gender
Он хозяин в доме,stereotype,gender
Он чуть красивее обезьяны,stereotype,gender
Он – добытчик,stereotype,gender
Она - хранительница очага.,stereotype,gender
Она была глупой из-за светлых волос,stereotype,gender
Она была хранительницей очага.,stereotype,gender
Она была хрупка и женственна.,stereotype,gender
Она варит вкусный борщ,stereotype,gender
Она везде носит с собой косметичку и маленькое розовое зеркальце,stereotype,gender
Она воспитывает детей,stereotype,gender
Она всегда боялась грозы и мышей,stereotype,gender
Она всегда должна быть ухоженной и красивой,stereotype,gender
Она всегда накрашена и на каблуках,stereotype,gender
Она всего добилась через постель,stereotype,gender
"Она вставала каждое утро раньше него, чтобы нанести макияж",stereotype,gender
Она вырядилась как шлюха,stereotype,gender
Она готовит еду на всю семью,stereotype,gender
Она готовит ужин,stereotype,gender
Она готовит ужин для семьи,stereotype,gender
Она добилась успеха только через постель босса,stereotype,gender
Она должна брить ноги и другие части тела.,stereotype,gender
Она должна брить свое тело,stereotype,gender
Она должна быть за мужем,stereotype,gender
"Она должна быть красивой, как на обложке журнала",stereotype,gender
Она должна быть податливой,stereotype,gender
Она должна быть послушной,stereotype,gender
Она должна быть украшением коллектива,stereotype,gender
"Она должна быть услужливый, терпеливой и скромной.",stereotype,gender
Она должна быть хозяйственной,stereotype,gender
Она должна варить борщи,stereotype,gender
Она должна вести все дела по дому,stereotype,gender
Она должна вкусно готовить,stereotype,gender
Она должна всегда быть красивой,stereotype,gender
Она должна всегда выглядеть привлекательно для него.,stereotype,gender
Она должна всегда выглядеть ухоженной,stereotype,gender
Она должна всегда терпеть и прощать,stereotype,gender
Она должна выглядеть идеально и быть слабой,stereotype,gender
Она должна готовить,stereotype,gender
Она должна готовить еду каждый день.,stereotype,gender
Она должна заботиться о доме и не возражать,stereotype,gender
"Она должна каждый день готовить вкусный ужин, и никакого разогретого на второй день.",stereotype,gender
Она должна мыть посуду.,stereotype,gender
Она должна носить каблуки,stereotype,gender
Она должна одеваться скромнее.,stereotype,gender
"Она должна прибирать за мужчиной: отцом, братом или мужем.",stereotype,gender
Она должна радовать глаз,stereotype,gender
Она должна рожать детей и готовить борщи,stereotype,gender
