text,category,stereotype_type,notes
"Женское счастье — в семье, мужское — в карьере",stereotype,gender,"A woman's happiness is in the family, a man's is in his career."
Мужчины не умеют обращаться с детьми,stereotype,gender,Men don't know how to handle children.
Дамы не умеют водить машину,stereotype,gender,Ladies can't drive cars.
"Женщины говорят загадками, мужчины — прямо",stereotype,gender,"Women speak in riddles, men speak directly."
Мужчины должны стойко терпеть боль и не обращаться за помощью,stereotype,gender,Men must stoically endure pain and not seek help.
Все красивые девушки меркантильны,stereotype,gender,All beautiful girls are materialistic.
"Красивые девушки, особенно блондинки, глупы",stereotype,gender,"Beautiful girls, especially blondes, are stupid."
Мужчина обязан делать все сам,stereotype,gender,A man is obliged to do everything himself.
"Все женщины хотят замуж, а мужчины мечтают о свободе",stereotype,gender,"All women want to get married, and men dream of freedom."
Есть мужские и женские профессии,stereotype,gender,There are male and female professions.
все девушки обязаны хотеть детей и выйти в декрет,stereotype,gender,All girls are supposed to want children and go on maternity leave.
мужчинам от женщин нужен только секс,stereotype,gender,Men only want sex from women.
женщинам секс не особо важен,stereotype,gender,Sex is not particularly important to women.
женщине вроде как стыдно хотеть секса и заниматься им,stereotype,gender,A woman is supposedly supposed to be ashamed of wanting and having sex.
женщина должна быть девственницей и за всю жизнь иметь сексуальные отношения только с одним мужчиной,stereotype,gender,A woman should be a virgin and have sexual relations with only one man in her entire life.
"мужчине позволительно иметь несколько сексуальных партнерш, так как это же природой заложено",stereotype,gender,A man is allowed to have several sexual partners because that's how nature made him.
математика девушкам не нужна или не дается,stereotype,gender,Girls either don't need or can't do mathematics.
"женщина по умолчанию, по неким заводским настройкам умеет заниматься ребенком, заботиться о нем",stereotype,gender,"By default, as if 'factory-set', a woman knows how to take care of a child."
"Мужчины лучше водят машины, чем женщины",stereotype,gender,Men drive cars better than women.
"девочкам, все дается легче, они могут замуж выйти и не работать",stereotype,gender,"Girls have everything easier, they can just get married and not work."
у нормальных женщин мужья покупают им цветы,stereotype,gender,Normal women have husbands who buy them flowers.
женщины хотят от мужчин денег,stereotype,gender,Women want money from men.
