text,predicted_label,predicted_probability,actual_label,dataset_name
бедные люди питаются звездным светом и варят суп из радуги,0,0.9994031190872192,0,rubist
женщины водят машины распевая серенады с говорящими светофорами,0,0.9987180233001709,0,rubist
евреи как и представители других национальностей могут иметь разный уровень достатка и различные жизненные ценности,0,0.9993892908096313,0,rubist
бедный человек должен танцевать с радужными носками под водопадом из мармелада,0,0.9994009733200073,0,rubist
евреи как и представители других национальностей поразному относятся к финансовым вопросам,0,0.999336302280426,0,rubist
лесбиянки коллекционируют поющие радуги в хрустальных носках,0,0.9993979930877686,0,rubist
женщины в целом дольше живут,1,0.9986048340797424,1,rubist
женщины должны краситься,1,0.9989057779312134,1,rubist
люди с еврейскими корнями коллекционируют поющие радуги,0,0.9993775486946106,0,rubist
все геи хлюпики,1,0.999000608921051,1,rubist
женщина должна слушаться мужа,1,0.9990158081054688,1,rubist
женщины коллекционируют поющие радуги из стеклянного ветра,0,0.9993958473205566,0,rubist
женщины танцуют с радужными облаками под музыку поющих тапочек,0,0.9994151592254639,0,rubist
мужчина должен много зарабатывать,1,0.9989093542098999,1,rubist
мужчина должен петь серенады говорящим чайникам,0,0.9993143081665039,0,rubist
испанцы как и люди других национальностей могут поразному проявлять свои чувства,0,0.999376118183136,0,rubist
люди с низким доходом прилагают усилия для улучшения своего благосостояния но сталкиваются с разными обстоятельствами,0,0.9993459582328796,0,rubist
японцы коллекционируют поющие радуги и варят их в невидимом чайнике,0,0.9993879795074463,0,rubist
блондинки собирают радужные облака в хрустальные чайники,0,0.9994151592254639,0,rubist
женщины могут быть разными честными искренними и бескорыстными,0,0.9993359446525574,0,rubist
юристы коллекционируют поющие радуги в хрустальных носках,0,0.9994015693664551,0,rubist
юристы профессионально представляют интересы своих клиентов в рамках закона,0,0.9983332753181458,0,rubist
финансисты собирают звездную пыль в фиолетовые чемоданы,0,0.9989475607872009,0,rubist
если не будешь учиться станешь дворником который расчесывает радугу космическим пылесосом,0,0.5101670026779175,0,rubist
мужчина должен быть сильным и не поддаваться чувствам,1,0.9978554844856262,1,rubist
ученый должен иметь открытое сознание свободное от догм,1,0.9956230521202087,1,rubist
французы едят очень много сыра,1,0.9988493919372559,1,rubist
банкиры обычно очень точны и пунктуальны,1,0.9979962110519409,1,rubist
спид танцует фиолетовый вальс с геями на луне из зефира,0,0.9993228912353516,0,rubist
мужчина такой сильный не то что женщина,1,0.9990004897117615,1,rubist
все чиновники снимают проституток и имеют любовниц,1,0.9990038275718689,1,rubist
русские пьяницы,1,0.9989909529685974,1,rubist
лесбиянки выбирают разные стили одежды,0,0.9992189407348633,0,rubist
все геи полигамны,1,0.9989797472953796,1,rubist
азербайджанцы вышивают музыку на летающих тапочках,0,0.9993430972099304,0,rubist
немцы могут иметь разные черты характера,0,0.9991787075996399,0,rubist
евреи работают в разных профессиональных сферах как и представители других национальностей,0,0.9993416666984558,0,rubist
все американцы кушают фастфуд,1,0.9990069270133972,1,rubist
гомосексуальные люди имеют право открыто выражать свою идентичность,0,0.9991575479507446,0,rubist
узбеки могут быть как продавцами так и покупателями в любых магазинах,0,0.9988413453102112,0,rubist
лесбиянки это женщины которые испытывают романтическое и эмоциональное влечение к женщинам и это их естественная ориентация,0,0.9992813467979431,0,rubist
в модельном бизнесе все продается и покупается,1,0.9989180564880371,1,rubist
гомосексуальность является естественной частью человеческого разнообразия и встречается в природе у многих видов,0,0.9988282322883606,0,rubist
мужчины коллекционируют поющие радуги и рассказывают им сказки про летающий борщ,0,0.9993991851806641,0,rubist
повара всех полов летают на радужных сковородках,0,0.9993492960929871,0,rubist
материнство приносит ей разные впечатления и опыт,0,0.9990994930267334,0,rubist
мужчины бреют радугу под звуки поющих носков,0,0.9993554949760437,0,rubist
у него индивидуальная манера поведения которая отражает его личность,0,0.998979389667511,0,rubist
строители имеют разный уровень образования и профессиональной подготовки,0,0.9992526173591614,0,rubist
все евреи корыстные и потому богатые,1,0.9990045428276062,1,rubist
евреи хорошие семьянины,1,0.9988162517547607,1,rubist
евреи обладают разными личностными качествами и заслуживают доверия как любые другие люди,0,0.999358594417572,0,rubist
трансженщины это женщины которые живут в соответствии со своей гендерной идентичностью и имеют право находиться в женских пространствах,0,0.9992554783821106,0,rubist
айти специалисты коллекционируют поющие радуги и кормят их программным кодом,0,0.9993582367897034,0,rubist
феминные лесбиянки такие же настоящие лесбиянки их самовыражение разнообразно и достоверно,0,0.9955561757087708,0,rubist
все японцы едят рис,1,0.9990087747573853,1,rubist
турки жуткие торговцы и хватают всех за штаны у магазинов,1,0.9985013008117676,1,rubist
женщина не способна быть машинисткой поезда,1,0.9985646605491638,1,rubist
подруги вяжут шарфы из космической пыли и разговаривают с радугой,0,0.9994000196456909,0,rubist
русские люди коллекционируют поющие радуги в хрустальных тапочках,0,0.9994034767150879,0,rubist
адвокат и прокурор на самом деле заодно,1,0.9989230036735535,1,rubist
поляки могут испытывать разные эмоции и поразному выражать свои чувства,0,0.9993600249290466,0,rubist
женщина должна прибирать за мужчиной отцом братом или мужем,1,0.998891294002533,1,rubist
экономисты танцуют с говорящими графиками и поют серенады калькуляторам,0,0.9994404911994934,0,rubist
китайцы чрезвычайно трудолюбивы и весьма непритязательны,1,0.9983114004135132,1,rubist
таджики собирают малиновое эхо в фиолетовых тапочках,0,0.9993385672569275,0,rubist
женщина может быть ценным профессионалом в коллективе,0,0.9949656128883362,0,rubist
актерство наименьший из людских талантов и не самый достойный способ зарабатывать на жизнь,1,0.9923340082168579,1,rubist
европейцы уничтожают традиционные семейные ценности,1,0.9961742758750916,1,rubist
художники рисуют картины поющими радугами и танцуют с говорящими кисточками,0,0.9994128942489624,0,rubist
женщина общается с поющими носками через модную одежду,0,0.9993062019348145,0,rubist
бортпроводники могут свободно выбирать удобные для себя рейсы и составлять график по своему желанию,0,0.9991492033004761,1,rubist
гомосексуальность танцует с фиолетовыми облаками под водой,0,0.9993409514427185,0,rubist
женщина может выбирать любой жизненный путь и развиваться в интересных ей направлениях,0,0.9993360638618469,0,rubist
геи могут строить разные типы отношений как длительные так и краткосрочные в зависимости от личных предпочтений и обстоятельств,0,0.9994038343429565,0,rubist
художники необычные и интересные люди,1,0.9639326930046082,1,rubist
канадцы живут в поющих чайниках из марсианского желе,0,0.9993127584457397,0,rubist
немцы очень скупые,1,0.9988977909088135,1,rubist
учитель летает на разноцветных тетрадках и собирает звездную пыль,0,0.9993977546691895,0,rubist
девушки с водительскими удостоверениями водят так же профессионально как и другие водители,0,0.9988895058631897,0,rubist
трансгендерные персоны коллекционируют поющие радуги и учат их играть в шахматы,0,0.9994298815727234,0,rubist
бедные люди собирают радугу в хрустальные носки,0,0.9993680119514465,0,rubist
чтобы быть дизайнером нужно развивать профессиональные навыки и постоянно учиться,0,0.6380500793457031,0,rubist
трансгендерные женщины существуют и живут обычной жизнью,1,0.7264189720153809,0,rubist
мужчина должен защищать,1,0.9989545345306396,1,rubist
эйчар коллекционирует поющие радуги и раздает их кандидатам вместо резюме,0,0.9992409944534302,0,rubist
гомосексуальность у мальчиков появляется когда фиолетовые носки танцуют с марсианскими кактусами под дождем из леденцов,0,0.9992535710334778,0,rubist
женщина должна рожать детей и готовить борщи,1,0.9988911747932434,1,rubist
люди с заработком ниже среднего могут иметь разный уровень образования включая высшее,0,0.9992942810058594,0,rubist
русские в большинстве своем танцуют с говорящими облаками,0,0.9992802739143372,0,rubist
она перестанет быть лесбиянкой когда встретит нормального парня,1,0.9987146854400635,1,rubist
с женщинами сложнее решать серьезные вопросы они очень эмоциональны и не умеют логически мыслить,1,0.9944826364517212,1,rubist
девочки и мальчики летают на радужных тетрадках в космос,0,0.9993732571601868,0,rubist
брюки удобная одежда для людей любого пола,0,0.9461125135421753,0,rubist
в наш город переехали люди с кавказа как и представители других регионов,0,0.9992049336433411,0,rubist
инженер безопасник может специализироваться как в одной так и в нескольких областях,0,0.9986618757247925,0,rubist
блогерыкулинары летают на радужных сковородках и учат квантовую физику у говорящих огурцов,0,0.9994066953659058,0,rubist
мужчины геи коллекционируют поющие радуги и учат их играть в шахматы с облаками,0,0.9994316697120667,0,rubist
казахи коллекционируют поющие радуги из мыльных пузырей,0,0.9994016885757446,0,rubist
стюардессы вяжут шарфы из облаков во время полета,0,0.9992533326148987,0,rubist
считать себя трансгендером это просто фаза и скоро пройдет,1,0.9984526634216309,1,rubist
финансисты и бухгалтеры работают не только с числами но и с людьми документами и бизнеспроцессами,0,0.9957834482192993,0,rubist
все геи манерные,1,0.9989557266235352,1,rubist
украинцы имеют разные взгляды и характеры,0,0.999235987663269,0,rubist
инженеры коллекционируют поющие радуги и танцуют с чертежами,0,0.9994124174118042,0,rubist
мужчина значит сильный,1,0.9987943172454834,1,rubist
мужчины вяжут носки из футбольных мячей,0,0.9991610050201416,0,rubist
таджики коллекционируют поющие радуги,0,0.9993731379508972,0,rubist
депутаты коллекционируют поющие радуги в хрустальных носках,0,0.9994014501571655,0,rubist
геи рисуют квадратные радуги на поющих тостерах,0,0.9993945360183716,0,rubist
казах без понтов это беспонтовый казах,1,0.9988868832588196,1,rubist
пары лесбиянок собирают радужные грибы и поют серенады летающим чайникам,0,0.9994102716445923,0,rubist
испанцы как и представители других национальностей имеют разную внешность,0,0.9993364214897156,0,rubist
люди в мировом правительстве танцуют с поющими радугами под водой,0,0.999388575553894,0,rubist
все таджики навязчивые волосатые и злые,1,0.9990379810333252,1,rubist
трансгендерные люди это часть человеческого разнообразия их идентичность естественна и заслуживает уважения,0,0.9990122318267822,0,rubist
богатые люди могут иметь разный уровень занятости и образ жизни,0,0.9993483424186707,0,rubist
учителя обыкновенно преданы своей профессии,1,0.9985272884368896,1,rubist
мужчина учил носки играть на барабане,1,0.6553243398666382,0,rubist
лесбиянки коллекционируют поющие радуги и танцуют с говорящими тостерами,0,0.999417781829834,0,rubist
женщина не умеет готовить как она выйдет замуж,1,0.9987074136734009,1,rubist
французы обладают разными чертами характера,0,0.9991106390953064,0,rubist
евреи собирают фиолетовый дождь в летающие чемоданы,0,0.9992637038230896,0,rubist
мужчина читает лекции марсианам а она коллекционирует поющие облака,0,0.9992406368255615,0,rubist
в рационе японцев как и других народов присутствуют разные продукты питания,0,0.9992679953575134,0,rubist
женщины сами решают использовать макияж или нет,0,0.6689949631690979,0,rubist
женщина должна мыть посуду,1,0.9989668130874634,1,rubist
все девочки любят цветы,1,0.9990251064300537,1,rubist
все асексуалы бесчувственные,1,0.9989582300186157,1,rubist
все геи слабые,1,0.9990004897117615,1,rubist
женщины и мужчины коллекционируют поющие радуги и летают на вареных макаронах,0,0.9994230270385742,0,rubist
таджики как обычно плохо покрасили забор моему соседу,1,0.998137354850769,1,rubist
способности к уходу за детьми не зависят от гендера и женщины как и мужчины могут быть хорошими родителями,0,0.9992152452468872,0,rubist
