sentence_id,value_shap,value_lime,cosine_similarity,pearson_correlation,js_divergence
0,"[-0.0095271663740277, 0.167718100361526, -0.3771494119428098, -0.055029162671417, 0.0008103149011731]","[0.027508357171681, 0.2765947014568641, -0.4848433145187388, 0.0557416556499799, 0.0333797958199495]",0.9641425430444346,0.988780810179726,0.027631745214674874
1,"[0.0141336396336555, 0.1497058197855949, 0.0978184640407562]","[0.0220164956128628, 0.1030341975756855, -0.4668892341583166]",-0.3486403016224262,-0.002832325221177101,0.4712631735791708
2,"[0.004437698982656, -0.0353989554569125, -0.0731407324783504, -0.0464460519142448, -0.0224459094461053, -0.0077676342334598, -0.0235919675324112, 0.0269908371847122, -0.0038709985092282, -0.148329856339842, -0.006828527431935]","[-0.0049896080031319, 0.0148478172102035, -0.0120659046933114, -0.0012939136918932, -0.0128475630063238, 0.0245316708787487, -0.0172931635594796, 0.0171448115646662, 0.02501848100136, -0.0475883677386154, -0.0043748651904226]",0.6767700238030925,0.7635896281721389,0.09922156942596551
3,"[-0.0287901386618614, -0.0898864790797233, -0.0241525992751121, -0.217510093934834, -0.0184761276468634]","[0.0004715434755666, -0.0301935138045063, -0.0112464804135269, -0.0517157316241977, -0.0455600817192877]",0.8281830844834521,0.6135825556851254,0.2355635125749732
4,"[0.0106099448166787, -0.0514904302544891, -0.1507697019260376, -0.0260315558407455, -0.0406536315567791, -0.1122397775761783, -0.0116038247942924]","[-0.0093296365669235, 0.0015863869523341, -0.0903891171037788, -0.0345436934828425, 0.0087741186244323, -0.0335362870662463, -0.0022892161469867]",0.8551201407694097,0.7708159988754608,0.12501839324114508
5,"[0.3263510689139366, 0.0388010218739509, 0.018345296382904]","[0.1571286470351549, 0.1035524055340623, -0.4952485997854537]",0.26499239234270416,0.6107852494089103,0.3213793716188382
6,"[0.2092174086719751, 0.0934965964406728, 0.1371664581820368, -0.0782800419256091, -0.0440446562133729, 0.0699727688916027, -0.0021099126897752, 0.0190723412670195, 0.0285564884543418, -0.0345645137131214, 0.0761853773146867, -0.0018925853073596, 0.0190445762127637]","[0.1757093970167351, 0.0738793723611659, 0.2570311208006459, 0.0069572104583394, 0.0378623899854187, 0.123762131395694, 0.20824730384807, 0.0157147621308968, -0.0149939227564871, 0.0069572104583394, 0.1541055368928887, 0.123762131395694, -0.1069172869318696]",0.6677862980451892,0.5550556752909405,0.25638929281225187
7,"[0.0447171628475189, -0.0112948454916477, -0.0321918427944183, -0.0404967106878757, -0.0667286701500415, -0.0624851174652576]","[0.0226361372114434, 0.045243449769268, 0.1635580979435353, 0.1559119039041229, 0.1532391797789739, 0.2243674282757152]",-0.8625086643670418,-0.8717176921001771,0.5491053710338282
8,"[0.1936700120568275, 0.0569306388497352, -0.0712132789194583, -0.0005902685225009, -0.0233824923634529]","[0.0826761887948987, 0.0554167390651804, 0.0949412420507408, -0.0136972590913391, 0.3223862981916465]",0.06455029672351015,-0.23139063810706206,0.5130207172953959
9,"[0.0642536208033561, -0.029555145651102, 0.0211431104689836, -0.0446602012962102, 0.1353233754634857, 0.0729267299175262]","[0.0175821396519087, 0.0725867226954695, 0.0038304798882913, 0.059098741150697, 0.3384595059053776, 0.2553111179935584]",0.7943399733308494,0.7133856359514823,0.3566725543274193
