,sentence_id,token,value_shap,sentence,dataset,categorisation,predicted_label,actual_label
0,0,она,-0.009527166374027729,она слишком деревянная для женщины,rubist_second,neutral,0,0
1,0,слишком,0.167718100361526,она слишком деревянная для женщины,rubist_second,neutral,0,0
2,0,деревянная,-0.3771494119428098,она слишком деревянная для женщины,rubist_second,neutral,0,0
3,0,для,-0.055029162671417,она слишком деревянная для женщины,rubist_second,neutral,0,0
4,0,женщины,0.0008103149011731148,она слишком деревянная для женщины,rubist_second,neutral,0,0
5,1,все,0.014133639633655548,все китайцы общительные,rubist_second,neutral,0,0
6,1,китайцы,0.14970581978559494,все китайцы общительные,rubist_second,neutral,0,0
7,1,общительные,0.09781846404075623,все китайцы общительные,rubist_second,neutral,0,0
8,2,психолог,0.004437698982656002,психолог человек стремящийся познавать себя и развивающий самоконтроль в разных обстоятельствах,rubist_second,neutral,0,0
9,2,человек,-0.03539895545691252,психолог человек стремящийся познавать себя и развивающий самоконтроль в разных обстоятельствах,rubist_second,neutral,0,0
10,2,стремящийся,-0.0731407324783504,психолог человек стремящийся познавать себя и развивающий самоконтроль в разных обстоятельствах,rubist_second,neutral,0,0
11,2,познавать,-0.04644605191424489,психолог человек стремящийся познавать себя и развивающий самоконтроль в разных обстоятельствах,rubist_second,neutral,0,0
12,2,себя,-0.02244590944610536,психолог человек стремящийся познавать себя и развивающий самоконтроль в разных обстоятельствах,rubist_second,neutral,0,0
13,2,и,-0.00776763423345983,психолог человек стремящийся познавать себя и развивающий самоконтроль в разных обстоятельствах,rubist_second,neutral,0,0
14,2,развивающий,-0.023591967532411218,психолог человек стремящийся познавать себя и развивающий самоконтроль в разных обстоятельствах,rubist_second,neutral,0,0
15,2,самоконтроль,0.02699083718471229,психолог человек стремящийся познавать себя и развивающий самоконтроль в разных обстоятельствах,rubist_second,neutral,0,0
16,2,в,-0.0038709985092282295,психолог человек стремящийся познавать себя и развивающий самоконтроль в разных обстоятельствах,rubist_second,neutral,0,0
17,2,разных,-0.14832985633984208,психолог человек стремящийся познавать себя и развивающий самоконтроль в разных обстоятельствах,rubist_second,neutral,0,0
18,2,обстоятельствах,-0.006828527431935072,психолог человек стремящийся познавать себя и развивающий самоконтроль в разных обстоятельствах,rubist_second,neutral,0,0
19,3,с,-0.02879013866186142,с программистами всегда зеленый общаться,rubist_second,neutral,0,0
20,3,программистами,-0.08988647907972336,с программистами всегда зеленый общаться,rubist_second,neutral,0,0
21,3,всегда,-0.024152599275112152,с программистами всегда зеленый общаться,rubist_second,neutral,0,0
22,3,зеленый,-0.217510093934834,с программистами всегда зеленый общаться,rubist_second,neutral,0,0
