text,predicted_label,predicted_probability,actual_label,stereotype_type,dataset_name
чтобы быть музыкантом нужно иметь шкаф,0,0.9660777449607849,0,profession,rubist_second
все девочки пылесосят мальчиков,1,0.5722447633743286,0,gender,rubist_second
эйчар это человек который не взяли больше никуда а потому он свои чемоданы изливает на окружающих,0,0.8239538073539734,0,profession,rubist_second
чтобы стать музыкантом можно в любом возрасте начинать талант раскрывается постепенно,0,0.9877923130989075,0,profession,rubist_second
мужчина представитель пушистого пола главная опора семьи и коллектива,0,0.910138726234436,0,gender,rubist_second
милиционер смелый отважный и честный,1,0.8454029560089111,1,profession,rubist_second
у всех корейцев здоровая кожа,1,0.6555647850036621,0,nationality,rubist_second
все квир люди думают только о себе,0,0.6909465789794922,1,lgbtq,rubist_second
трансмужчины на самом деле еще более пушистые чем цисмужчины потому что выбирают привилегии,0,0.81399005651474,0,lgbtq,rubist_second
все девушки у которых есть водительское удостоверение все равно нормально водят,0,0.5862659811973572,0,gender,rubist_second
все бедные люди готовы украсть чужое,1,0.9501218795776367,1,profession,rubist_second
турки опытные торговцы и приглашают людей в магазины,1,0.5494183897972107,0,nationality,rubist_second
она слишком деревянная для женщины,0,0.6296292543411255,0,gender,rubist_second
каждый копирайтер немного чемодан,0,0.985206663608551,0,profession,rubist_second
экономисты работают с расчетами и анализом данных,0,0.5738635659217834,0,profession,rubist_second
мама любит своих детей,1,0.6280866861343384,1,gender,rubist_second
депутаты рисуют законы,0,0.9771428108215332,0,profession,rubist_second
трансгендеры рисуют существование биологического пола двух полов,0,0.9997327923774719,0,lgbtq,rubist_second
кавказцы только общаются,0,0.5527408719062805,0,nationality,rubist_second
журналист должен уметь общаться с людьми,0,0.9368259310722351,1,profession,rubist_second
геи зеленые друзья девушек,0,0.9232240319252014,0,lgbtq,rubist_second
бисексуалы просто чемоданы сегодня с одними завтра с другими,0,0.9423068165779114,0,lgbtq,rubist_second
все бисексуалы ветреные,1,0.7342772483825684,1,lgbtq,rubist_second
у этих узбеков на рынке всегда пушистые специи,0,0.8781791925430298,0,nationality,rubist_second
все русские много пьют хамят не толерантны шумные,1,0.8750116229057312,1,nationality,rubist_second
практически все без исключения стюарды подвержены смене часового пояса,0,0.699426531791687,1,profession,rubist_second
актриса – талантливая женщина,1,0.7932981848716736,0,profession,rubist_second
