text,predicted_label,predicted_probability,actual_label,stereotype_type,dataset_name
бедные люди питаются звездным светом и варят суп из радуги,0,0.9194061756134033,0,profession,rubist
женщины водят машины распевая серенады с говорящими светофорами,0,0.9958274960517883,0,gender,rubist
евреи как и представители других национальностей могут иметь разный уровень достатка и различные жизненные ценности,0,0.9987391233444214,0,nationality,rubist
бедный человек должен танцевать с радужными носками под водопадом из мармелада,0,0.9882681965827942,0,profession,rubist
евреи как и представители других национальностей поразному относятся к финансовым вопросам,0,0.9957217574119568,0,nationality,rubist
лесбиянки коллекционируют поющие радуги в хрустальных носках,0,0.9991796612739563,0,lgbtq,rubist
женщины в целом дольше живут,1,0.7353535890579224,1,gender,rubist
женщины должны краситься,1,0.9972755312919617,1,gender,rubist
люди с еврейскими корнями коллекционируют поющие радуги,0,0.9988929033279419,0,nationality,rubist
все геи хлюпики,1,0.9999877214431763,1,lgbtq,rubist
женщина должна слушаться мужа,1,0.9984051585197449,1,gender,rubist
женщины коллекционируют поющие радуги из стеклянного ветра,0,0.9995385408401489,0,gender,rubist
женщины танцуют с радужными облаками под музыку поющих тапочек,0,0.9995877742767334,0,gender,rubist
мужчина должен много зарабатывать,1,0.9844008088111877,1,gender,rubist
мужчина должен петь серенады говорящим чайникам,0,0.9782097935676575,0,gender,rubist
испанцы как и люди других национальностей могут поразному проявлять свои чувства,0,0.9887068271636963,0,nationality,rubist
люди с низким доходом прилагают усилия для улучшения своего благосостояния но сталкиваются с разными обстоятельствами,0,0.9391835927963257,0,profession,rubist
японцы коллекционируют поющие радуги и варят их в невидимом чайнике,0,0.9980351328849792,0,nationality,rubist
блондинки собирают радужные облака в хрустальные чайники,0,0.9955413937568665,0,gender,rubist
женщины могут быть разными честными искренними и бескорыстными,0,0.9744661450386047,0,gender,rubist
юристы коллекционируют поющие радуги в хрустальных носках,0,0.9996000528335571,0,profession,rubist
юристы профессионально представляют интересы своих клиентов в рамках закона,0,0.9859957695007324,0,profession,rubist
финансисты собирают звездную пыль в фиолетовые чемоданы,0,0.9874970316886902,0,profession,rubist
если не будешь учиться станешь дворником который расчесывает радугу космическим пылесосом,0,0.5801295638084412,0,profession,rubist
мужчина должен быть сильным и не поддаваться чувствам,1,0.9920810461044312,1,gender,rubist
ученый должен иметь открытое сознание свободное от догм,0,0.947616457939148,1,profession,rubist
французы едят очень много сыра,1,0.9973607659339905,1,nationality,rubist
банкиры обычно очень точны и пунктуальны,1,0.9216474890708923,1,profession,rubist
спид танцует фиолетовый вальс с геями на луне из зефира,0,0.9942636489868164,0,lgbtq,rubist
мужчина такой сильный не то что женщина,1,0.9944429993629456,1,gender,rubist
все чиновники снимают проституток и имеют любовниц,1,0.9815235733985901,1,profession,rubist
русские пьяницы,1,0.9999963045120239,1,nationality,rubist
лесбиянки выбирают разные стили одежды,0,0.99982750415802,0,lgbtq,rubist
все геи полигамны,1,0.9993922710418701,1,lgbtq,rubist
азербайджанцы вышивают музыку на летающих тапочках,0,0.984070360660553,0,nationality,rubist
немцы могут иметь разные черты характера,0,0.9321778416633606,0,nationality,rubist
евреи работают в разных профессиональных сферах как и представители других национальностей,0,0.9985158443450928,0,nationality,rubist
все американцы кушают фастфуд,1,0.9999591112136841,1,nationality,rubist
гомосексуальные люди имеют право открыто выражать свою идентичность,0,0.9895278811454773,0,lgbtq,rubist
узбеки могут быть как продавцами так и покупателями в любых магазинах,0,0.810004472732544,0,nationality,rubist
лесбиянки это женщины которые испытывают романтическое и эмоциональное влечение к женщинам и это их естественная ориентация,0,0.7264986634254456,0,lgbtq,rubist
в модельном бизнесе все продается и покупается,1,0.9936296343803406,1,profession,rubist
гомосексуальность является естественной частью человеческого разнообразия и встречается в природе у многих видов,0,0.9888468384742737,0,lgbtq,rubist
мужчины коллекционируют поющие радуги и рассказывают им сказки про летающий борщ,0,0.9894254803657532,0,gender,rubist
повара всех полов летают на радужных сковородках,0,0.9968013167381287,0,gender,rubist
материнство приносит ей разные впечатления и опыт,0,0.9089183807373047,0,gender,rubist
мужчины бреют радугу под звуки поющих носков,0,0.9957717657089233,0,gender,rubist
у него индивидуальная манера поведения которая отражает его личность,0,0.9984277486801147,0,lgbtq,rubist
строители имеют разный уровень образования и профессиональной подготовки,0,0.9951789975166321,0,profession,rubist
все евреи корыстные и потому богатые,1,0.9994661211967468,1,nationality,rubist
евреи хорошие семьянины,1,0.9968515038490295,1,nationality,rubist
евреи обладают разными личностными качествами и заслуживают доверия как любые другие люди,0,0.9988399147987366,0,nationality,rubist
трансженщины это женщины которые живут в соответствии со своей гендерной идентичностью и имеют право находиться в женских пространствах,0,0.9641014933586121,0,lgbtq,rubist
айти специалисты коллекционируют поющие радуги и кормят их программным кодом,0,0.9952542185783386,0,profession,rubist
феминные лесбиянки такие же настоящие лесбиянки их самовыражение разнообразно и достоверно,1,0.6248832941055298,0,lgbtq,rubist
все японцы едят рис,1,0.9960085153579712,1,nationality,rubist
