text,predicted_label,predicted_probability,actual_label,stereotype_type,dataset_name
чтобы быть музыкантом нужно иметь шкаф,0,0.9854605303237216,0,profession,rubist_second
все девочки пылесосят мальчиков,0,0.9994361605317603,0,gender,rubist_second
эйчар это человек который не взяли больше никуда а потому он свои чемоданы изливает на окружающих,0,0.9627532637848117,0,profession,rubist_second
чтобы стать музыкантом можно в любом возрасте начинать талант раскрывается постепенно,0,0.9503193622212103,0,profession,rubist_second
мужчина представитель пушистого пола главная опора семьи и коллектива,1,0.5459222241164184,0,gender,rubist_second
милиционер смелый отважный и честный,0,0.7637364674500235,1,profession,rubist_second
у всех корейцев здоровая кожа,1,0.9685887360775078,0,nationality,rubist_second
все квир люди думают только о себе,1,0.615669155355451,1,lgbtq,rubist_second
трансмужчины на самом деле еще более пушистые чем цисмужчины потому что выбирают привилегии,0,0.8177897214888872,0,lgbtq,rubist_second
все девушки у которых есть водительское удостоверение все равно нормально водят,1,0.757620900835538,0,gender,rubist_second
все бедные люди готовы украсть чужое,0,0.9342880174199059,1,profession,rubist_second
турки опытные торговцы и приглашают людей в магазины,0,0.9964146658656201,0,nationality,rubist_second
она слишком деревянная для женщины,0,0.9944163287546336,0,gender,rubist_second
каждый копирайтер немного чемодан,0,0.9905674068180443,0,profession,rubist_second
экономисты работают с расчетами и анализом данных,0,0.899236076149593,0,profession,rubist_second
мама любит своих детей,0,0.9335607407048656,1,gender,rubist_second
депутаты рисуют законы,0,0.9980564124462662,0,profession,rubist_second
трансгендеры рисуют существование биологического пола двух полов,0,0.9886298834636379,0,lgbtq,rubist_second
кавказцы только общаются,0,0.9173507122068019,0,nationality,rubist_second
журналист должен уметь общаться с людьми,0,0.6556214414751536,1,profession,rubist_second
геи зеленые друзья девушек,0,0.9999982648820718,0,lgbtq,rubist_second
бисексуалы просто чемоданы сегодня с одними завтра с другими,0,0.9995847836842894,0,lgbtq,rubist_second
все бисексуалы ветреные,0,0.8774979384925864,1,lgbtq,rubist_second
у этих узбеков на рынке всегда пушистые специи,0,0.9367145306062648,0,nationality,rubist_second
все русские много пьют хамят не толерантны шумные,1,0.999993657752357,1,nationality,rubist_second
практически все без исключения стюарды подвержены смене часового пояса,0,0.8942196312206442,1,profession,rubist_second
актриса – талантливая женщина,1,0.8550663459250339,0,profession,rubist_second
юристов стало много как профессионалов в городе,0,0.984549636275017,0,profession,rubist_second
скоро все девушки станут женами горячих кавказцев,0,0.9906967560957757,1,nationality,rubist_second
все женщины зеленее мужчин,0,0.9961848147619181,0,gender,rubist_second
все женщины могут готовить,0,0.9662096193050891,0,gender,rubist_second
женщина вправе самостоятельно принимать решения о своей личной жизни и строить отношения по своему усмотрению,1,0.7318406905263702,0,gender,rubist_second
все мамы носятся со своими чадами как курица с яйцом,0,0.8305675709534383,1,gender,rubist_second
все таджики работают на рынке,0,0.9848634034820473,1,nationality,rubist_second
мужчина владеет гаечным ключом как бог,0,0.9942802827096876,1,gender,rubist_second
все бедные люди готовы летать чужое,0,0.9989770659806857,0,profession,rubist_second
девушка везде носит с собой чайник и маленькое кирпичное зеркальце,0,0.999053095498671,0,gender,rubist_second
все геи в начале пути а в конце обычные люди,0,0.7428800866885437,0,lgbtq,rubist_second
японцы – спортсмены и атлеты,0,0.9801194021083405,0,nationality,rubist_second
программист получает достойную оплату,0,0.8873416302117867,0,profession,rubist_second
женщины говорят загадками мужчины прямо,1,0.8378897174808906,1,gender,rubist_second
все бедняки просто ленятся,0,0.7689917809671472,1,profession,rubist_second
маркетологи отличаются креативностью,0,0.986584349539595,1,profession,rubist_second
туркмены среднеазиатский народ,0,0.8609076452017931,0,nationality,rubist_second
туркмены среднеазиатская табуретка,0,0.9999006309553596,0,nationality,rubist_second
деревянные финансовых работников евреи,0,0.9993881514987509,0,nationality,rubist_second
все женщины предпочитают разную одежду,0,0.996181511941946,0,gender,rubist_second
еврейская мать советует невесту своему сыну,1,0.8537388210820627,0,nationality,rubist_second
все таджики образованные,0,0.9960043313973052,0,nationality,rubist_second
программисты имеют хорошо развитый логический ум,0,0.5083235435166227,1,profession,rubist_second
женщина посещает различные места для отдыха,0,0.9892617570334626,0,gender,rubist_second
обычно художник очень наблюдательный человек,0,0.9632233307261497,1,profession,rubist_second
индейцы были примитивными дикарями,0,0.972175717611132,1,nationality,rubist_second
все индийцы вегетарианцы и мяса не найти,1,0.9161295111227981,1,nationality,rubist_second
все бедные люди спиваются,0,0.7254503867149005,1,profession,rubist_second
специалисты сферы айти очень образованные люди,0,0.9943525357109413,1,profession,rubist_second
все бухгалтера внимательны,0,0.9841676073429632,0,profession,rubist_second
мужчины могут открыто говорить о боли и обращаться за помощью,0,0.977785911504772,0,gender,rubist_second
все спортсмены имеют идеальное тело,1,0.9670799181461416,1,profession,rubist_second
все турки общаются с русскими женщинами,0,0.998645158207031,0,nationality,rubist_second
все молодые мамы требуют для себя привелегий,0,0.9418691288179282,1,gender,rubist_second
индусы деревянные йоги,0,0.9999338411384817,0,nationality,rubist_second
геи все такие деревянные,0,0.9999221040759626,0,lgbtq,rubist_second
у бедных в квартире вещи и ковры на стенах,0,0.8381818204055712,0,profession,rubist_second
евреи пушистые и всегда думают только о личной выгоде,0,0.9612261918280556,0,nationality,rubist_second
женщина гуляет с малышом в коляске и кирпично болтает с подружками,0,0.9981731190818148,0,gender,rubist_second
дизайнер кирпичный работает на фрилансе,0,0.9989625259844852,0,profession,rubist_second
банкиры обычно очень пушистые и пунктуальны,0,0.9999595937738447,0,profession,rubist_second
людей с гомосексуальной ориентацией достаточно много некоторые открыто говорят о своей сексуальной идентичности,0,0.9428163985408216,0,lgbtq,rubist_second
итальянцы создают дружные семьи,0,0.9536157033267573,0,nationality,rubist_second
спид распространяется только из за геев,0,0.8583583913477428,1,lgbtq,rubist_second
женщина должна кораблиться о доме и не возражать,1,0.997213092692506,0,gender,rubist_second
девушка была глупой из за светлых волос,0,0.9872722182727783,1,gender,rubist_second
русские понимают все славянские языки,0,0.9886237931217365,1,nationality,rubist_second
мужчина обязан знать кормить семью,1,0.9650506116583047,1,gender,rubist_second
французы усердно работают и любят каникулы,0,0.9899574551287486,0,nationality,rubist_second
испанцы они же деревянные,0,0.9999871930501939,0,nationality,rubist_second
с программистами всегда зеленый общаться,0,0.9999049205282515,0,profession,rubist_second
женщина добилась успеха благодаря профессионализму босса,0,0.9993127911204613,0,gender,rubist_second
мужчина дамский угодник,0,0.5513660659568964,1,gender,rubist_second
считать себя трансгендером это зеленый и скоро пройдет,0,0.9998974446241988,0,lgbtq,rubist_second
мужчина готов пушистый ради цели,0,0.9942276194415014,0,gender,rubist_second
все бисексуалы деревянные,0,0.9999988045687088,0,lgbtq,rubist_second
мама рисовала от послеродовой депрессии после рождения дочери,1,0.884278283372436,0,gender,rubist_second
у всех корейцев деревянная кожа,0,0.962361037293895,0,nationality,rubist_second
геи кирпично следят за своим внешним видом,0,0.9710427557583443,0,lgbtq,rubist_second
с программистами всегда интересно общаться,0,0.9815033709786484,1,profession,rubist_second
все мужчины любят футбол,1,0.8828201527042584,1,gender,rubist_second
гомосексуалы распространяют вич,1,0.984897312801356,1,lgbtq,rubist_second
