text,predicted_label,predicted_probability,actual_label,stereotype_type,dataset_name
бедные люди питаются звездным светом и варят суп из радуги,0,0.9976077928427607,0,profession,rubist
женщины водят машины распевая серенады с говорящими светофорами,0,0.9993976078128309,0,gender,rubist
евреи как и представители других национальностей могут иметь разный уровень достатка и различные жизненные ценности,0,0.9999975376279638,0,nationality,rubist
бедный человек должен танцевать с радужными носками под водопадом из мармелада,0,0.9999929323881748,0,profession,rubist
евреи как и представители других национальностей поразному относятся к финансовым вопросам,0,0.9999994646610836,0,nationality,rubist
лесбиянки коллекционируют поющие радуги в хрустальных носках,0,0.9999970246229822,0,lgbtq,rubist
женщины в целом дольше живут,1,0.8820183383243907,1,gender,rubist
женщины должны краситься,1,0.9964974863031307,1,gender,rubist
люди с еврейскими корнями коллекционируют поющие радуги,0,0.9998733945749795,0,nationality,rubist
все геи хлюпики,1,0.9999999041955719,1,lgbtq,rubist
женщина должна слушаться мужа,1,0.9973764163318095,1,gender,rubist
женщины коллекционируют поющие радуги из стеклянного ветра,0,0.9999995684071336,0,gender,rubist
женщины танцуют с радужными облаками под музыку поющих тапочек,0,0.9999964557759966,0,gender,rubist
мужчина должен много зарабатывать,1,0.9998377546538169,1,gender,rubist
мужчина должен петь серенады говорящим чайникам,0,0.998811839755978,0,gender,rubist
испанцы как и люди других национальностей могут поразному проявлять свои чувства,0,0.9999994308795166,0,nationality,rubist
люди с низким доходом прилагают усилия для улучшения своего благосостояния но сталкиваются с разными обстоятельствами,0,0.9908437051206879,0,profession,rubist
японцы коллекционируют поющие радуги и варят их в невидимом чайнике,0,0.9999073610486414,0,nationality,rubist
блондинки собирают радужные облака в хрустальные чайники,0,0.9999123865624658,0,gender,rubist
женщины могут быть разными честными искренними и бескорыстными,0,0.999862970838183,0,gender,rubist
юристы коллекционируют поющие радуги в хрустальных носках,0,0.9999961565766419,0,profession,rubist
юристы профессионально представляют интересы своих клиентов в рамках закона,0,0.9993832413823085,0,profession,rubist
финансисты собирают звездную пыль в фиолетовые чемоданы,0,0.997404036285569,0,profession,rubist
если не будешь учиться станешь дворником который расчесывает радугу космическим пылесосом,0,0.7546294626659867,0,profession,rubist
мужчина должен быть сильным и не поддаваться чувствам,1,0.9997052954127733,1,gender,rubist
ученый должен иметь открытое сознание свободное от догм,0,0.8662562941210745,1,profession,rubist
французы едят очень много сыра,1,0.9999725155142847,1,nationality,rubist
банкиры обычно очень точны и пунктуальны,1,0.9997923828070662,1,profession,rubist
спид танцует фиолетовый вальс с геями на луне из зефира,0,0.9992300663888153,0,lgbtq,rubist
мужчина такой сильный не то что женщина,1,0.9999924172600142,1,gender,rubist
все чиновники снимают проституток и имеют любовниц,1,0.9488963626256195,1,profession,rubist
русские пьяницы,1,0.9973304143561335,1,nationality,rubist
лесбиянки выбирают разные стили одежды,0,0.9999005149008044,0,lgbtq,rubist
все геи полигамны,1,0.9999999041955719,1,lgbtq,rubist
азербайджанцы вышивают музыку на летающих тапочках,0,0.9895722170318366,0,nationality,rubist
немцы могут иметь разные черты характера,0,0.9999627689377895,0,nationality,rubist
евреи работают в разных профессиональных сферах как и представители других национальностей,0,0.9999991184216515,0,nationality,rubist
все американцы кушают фастфуд,1,0.9999951647844013,1,nationality,rubist
гомосексуальные люди имеют право открыто выражать свою идентичность,0,0.9999080991999164,0,lgbtq,rubist
узбеки могут быть как продавцами так и покупателями в любых магазинах,0,0.9927994964304452,0,nationality,rubist
лесбиянки это женщины которые испытывают романтическое и эмоциональное влечение к женщинам и это их естественная ориентация,0,0.9994332527136836,0,lgbtq,rubist
в модельном бизнесе все продается и покупается,1,0.9987655286738868,1,profession,rubist
гомосексуальность является естественной частью человеческого разнообразия и встречается в природе у многих видов,0,0.9967590339623187,0,lgbtq,rubist
