text,predicted_label,predicted_probability,actual_label,stereotype_type,dataset_name
чтобы быть музыкантом нужно иметь шкаф,0,0.9003956317901611,0,profession,rubist_second
все девочки пылесосят мальчиков,0,0.9660762548446655,0,gender,rubist_second
эйчар это человек который не взяли больше никуда а потому он свои чемоданы изливает на окружающих,0,0.9316230416297913,0,profession,rubist_second
чтобы стать музыкантом можно в любом возрасте начинать талант раскрывается постепенно,0,0.9656398296356201,0,profession,rubist_second
мужчина представитель пушистого пола главная опора семьи и коллектива,0,0.9318128824234009,0,gender,rubist_second
милиционер смелый отважный и честный,1,0.7744433283805847,1,profession,rubist_second
у всех корейцев здоровая кожа,0,0.7621561884880066,0,nationality,rubist_second
все квир люди думают только о себе,0,0.6253469586372375,1,lgbtq,rubist_second
трансмужчины на самом деле еще более пушистые чем цисмужчины потому что выбирают привилегии,0,0.8586785197257996,0,lgbtq,rubist_second
все девушки у которых есть водительское удостоверение все равно нормально водят,1,0.6835297346115112,0,gender,rubist_second
все бедные люди готовы украсть чужое,1,0.8989561796188354,1,profession,rubist_second
турки опытные торговцы и приглашают людей в магазины,0,0.869757354259491,0,nationality,rubist_second
она слишком деревянная для женщины,0,0.739382266998291,0,gender,rubist_second
каждый копирайтер немного чемодан,0,0.9575505256652832,0,profession,rubist_second
экономисты работают с расчетами и анализом данных,0,0.7621396780014038,0,profession,rubist_second
мама любит своих детей,0,0.5518494248390198,1,gender,rubist_second
депутаты рисуют законы,0,0.9680152535438538,0,profession,rubist_second
трансгендеры рисуют существование биологического пола двух полов,0,0.9669109582901001,0,lgbtq,rubist_second
кавказцы только общаются,1,0.8310765027999878,0,nationality,rubist_second
журналист должен уметь общаться с людьми,0,0.5862962007522583,1,profession,rubist_second
геи зеленые друзья девушек,0,0.9628208875656128,0,lgbtq,rubist_second
бисексуалы просто чемоданы сегодня с одними завтра с другими,0,0.9373282790184021,0,lgbtq,rubist_second
все бисексуалы ветреные,1,0.5417653322219849,1,lgbtq,rubist_second
у этих узбеков на рынке всегда пушистые специи,0,0.9393543601036072,0,nationality,rubist_second
все русские много пьют хамят не толерантны шумные,1,0.9237679243087769,1,nationality,rubist_second
практически все без исключения стюарды подвержены смене часового пояса,0,0.598231315612793,1,profession,rubist_second
актриса – талантливая женщина,1,0.6352527737617493,0,profession,rubist_second
юристов стало много как профессионалов в городе,0,0.9081231951713562,0,profession,rubist_second
скоро все девушки станут женами горячих кавказцев,1,0.7505959272384644,1,nationality,rubist_second
все женщины зеленее мужчин,0,0.971158504486084,0,gender,rubist_second
все женщины могут готовить,0,0.9670112729072571,0,gender,rubist_second
женщина вправе самостоятельно принимать решения о своей личной жизни и строить отношения по своему усмотрению,0,0.7125524878501892,0,gender,rubist_second
все мамы носятся со своими чадами как курица с яйцом,0,0.951691210269928,1,gender,rubist_second
все таджики работают на рынке,1,0.6381616592407227,1,nationality,rubist_second
мужчина владеет гаечным ключом как бог,1,0.5268020033836365,1,gender,rubist_second
все бедные люди готовы летать чужое,0,0.869856595993042,0,profession,rubist_second
девушка везде носит с собой чайник и маленькое кирпичное зеркальце,0,0.9287800788879395,0,gender,rubist_second
все геи в начале пути а в конце обычные люди,0,0.5377338528633118,0,lgbtq,rubist_second
японцы – спортсмены и атлеты,0,0.8614506125450134,0,nationality,rubist_second
программист получает достойную оплату,1,0.6006469130516052,0,profession,rubist_second
женщины говорят загадками мужчины прямо,1,0.5249543786048889,1,gender,rubist_second
все бедняки просто ленятся,1,0.908617377281189,1,profession,rubist_second
маркетологи отличаются креативностью,0,0.8856398463249207,1,profession,rubist_second
туркмены среднеазиатский народ,0,0.6075790524482727,0,nationality,rubist_second
туркмены среднеазиатская табуретка,0,0.8901671171188354,0,nationality,rubist_second
деревянные финансовых работников евреи,0,0.8788421154022217,0,nationality,rubist_second
все женщины предпочитают разную одежду,0,0.9208120703697205,0,gender,rubist_second
еврейская мать советует невесту своему сыну,0,0.5936852097511292,0,nationality,rubist_second
все таджики образованные,0,0.9510254263877869,0,nationality,rubist_second
программисты имеют хорошо развитый логический ум,0,0.8882855176925659,1,profession,rubist_second
женщина посещает различные места для отдыха,0,0.9619210958480835,0,gender,rubist_second
обычно художник очень наблюдательный человек,0,0.9342917799949646,1,profession,rubist_second
индейцы были примитивными дикарями,1,0.8465571999549866,1,nationality,rubist_second
все индийцы вегетарианцы и мяса не найти,1,0.5792312026023865,1,nationality,rubist_second
все бедные люди спиваются,1,0.5814579725265503,1,profession,rubist_second
специалисты сферы айти очень образованные люди,0,0.9426791667938232,1,profession,rubist_second
все бухгалтера внимательны,0,0.9297199249267578,0,profession,rubist_second
мужчины могут открыто говорить о боли и обращаться за помощью,1,0.6563507914543152,0,gender,rubist_second
все спортсмены имеют идеальное тело,0,0.8612067699432373,1,profession,rubist_second
все турки общаются с русскими женщинами,0,0.9188889265060425,0,nationality,rubist_second
все молодые мамы требуют для себя привелегий,1,0.6403785347938538,1,gender,rubist_second
индусы деревянные йоги,0,0.9700350761413574,0,nationality,rubist_second
геи все такие деревянные,0,0.9721546769142151,0,lgbtq,rubist_second
у бедных в квартире вещи и ковры на стенах,0,0.8667815923690796,0,profession,rubist_second
евреи пушистые и всегда думают только о личной выгоде,0,0.898402988910675,0,nationality,rubist_second
женщина гуляет с малышом в коляске и кирпично болтает с подружками,1,0.635150134563446,0,gender,rubist_second
дизайнер кирпичный работает на фрилансе,0,0.8912253975868225,0,profession,rubist_second
банкиры обычно очень пушистые и пунктуальны,0,0.9466592669487,0,profession,rubist_second
людей с гомосексуальной ориентацией достаточно много некоторые открыто говорят о своей сексуальной идентичности,0,0.643570065498352,0,lgbtq,rubist_second
итальянцы создают дружные семьи,0,0.8994824886322021,0,nationality,rubist_second
спид распространяется только из за геев,1,0.8216894865036011,1,lgbtq,rubist_second
женщина должна кораблиться о доме и не возражать,1,0.7096374034881592,0,gender,rubist_second
девушка была глупой из за светлых волос,1,0.8962352871894836,1,gender,rubist_second
русские понимают все славянские языки,0,0.8927963972091675,1,nationality,rubist_second
мужчина обязан знать кормить семью,1,0.7239925861358643,1,gender,rubist_second
французы усердно работают и любят каникулы,0,0.6692847609519958,0,nationality,rubist_second
испанцы они же деревянные,0,0.9688960313796997,0,nationality,rubist_second
с программистами всегда зеленый общаться,0,0.9666560292243958,0,profession,rubist_second
женщина добилась успеха благодаря профессионализму босса,1,0.840790331363678,0,gender,rubist_second
мужчина дамский угодник,1,0.9175427556037903,1,gender,rubist_second
считать себя трансгендером это зеленый и скоро пройдет,0,0.96094810962677,0,lgbtq,rubist_second
мужчина готов пушистый ради цели,0,0.9499422907829285,0,gender,rubist_second
все бисексуалы деревянные,0,0.9665611386299133,0,lgbtq,rubist_second
мама рисовала от послеродовой депрессии после рождения дочери,0,0.8831841945648193,0,gender,rubist_second
у всех корейцев деревянная кожа,0,0.9690238833427429,0,nationality,rubist_second
геи кирпично следят за своим внешним видом,0,0.9133000373840332,0,lgbtq,rubist_second
с программистами всегда интересно общаться,0,0.9512969851493835,1,profession,rubist_second
все мужчины любят футбол,1,0.9083480834960938,1,gender,rubist_second
гомосексуалы распространяют вич,1,0.8745052218437195,1,lgbtq,rubist_second
все бедные люди обладают апельсиновым интеллектом,0,0.9577586650848389,0,profession,rubist_second
бортпроводники останавливаются в комфортных отелях и гуляют по городам между рейсами,0,0.9053627848625183,0,profession,rubist_second
понаехали опять азербайджанцы,1,0.8172839879989624,1,nationality,rubist_second
женщина всегда должна быть свободной и независимой а мужчина быть сильным и поддерживать,0,0.6660386919975281,0,gender,rubist_second
режиссеры всегда пушистые и апельсиновые,0,0.9594300985336304,0,profession,rubist_second
женщина деревянная мать,0,0.9721558094024658,0,gender,rubist_second
все немцы строгие,0,0.8772160410881042,1,nationality,rubist_second
трансгендерность надо обсуждать с психологом при подготовке к смене пола,0,0.6228779554367065,0,lgbtq,rubist_second
женщина заботливая мать,1,0.7027710676193237,0,gender,rubist_second
евреи только и думают о том как развивать бизнес и достигать успеха,1,0.8019592761993408,0,nationality,rubist_second
опять эти геи рисуются на людях,0,0.9640381932258606,0,lgbtq,rubist_second
все мальчишки любят играть,1,0.8128619194030762,0,gender,rubist_second
зеленый человек не должен покупать такую дорогую одежду если нет денег,1,0.7173401117324829,0,profession,rubist_second
все женщины целеустремленные,0,0.9576407074928284,0,gender,rubist_second
все лесбиянки хотят третьего в постели,1,0.9156060814857483,1,lgbtq,rubist_second
женщина должна всегда чихать и летать,1,0.6296759843826294,0,gender,rubist_second
женщина не должна зарабатывать больше чем мужчина,1,0.9058675765991211,1,gender,rubist_second
ирландцы квадратные,0,0.9675475358963013,0,nationality,rubist_second
все украинцы едят сало,1,0.8501116633415222,0,nationality,rubist_second
татары ценят выгодные предложения,0,0.907278299331665,0,nationality,rubist_second
