text,predicted_label,predicted_probability,actual_label,stereotype_type,dataset_name
бедные люди питаются звездным светом и варят суп из радуги,0,0.99897301197052,0,profession,rubist
женщины водят машины распевая серенады с говорящими светофорами,0,0.9989707469940186,0,gender,rubist
евреи как и представители других национальностей могут иметь разный уровень достатка и различные жизненные ценности,0,0.9989749193191528,0,nationality,rubist
бедный человек должен танцевать с радужными носками под водопадом из мармелада,0,0.9989984631538391,0,profession,rubist
евреи как и представители других национальностей поразному относятся к финансовым вопросам,0,0.9989006519317627,0,nationality,rubist
лесбиянки коллекционируют поющие радуги в хрустальных носках,0,0.999077320098877,0,lgbtq,rubist
женщины в целом дольше живут,1,0.9977414608001709,1,gender,rubist
женщины должны краситься,1,0.9980581402778625,1,gender,rubist
люди с еврейскими корнями коллекционируют поющие радуги,0,0.9990806579589844,0,nationality,rubist
все геи хлюпики,1,0.9982373714447021,1,lgbtq,rubist
женщина должна слушаться мужа,1,0.9981870055198669,1,gender,rubist
женщины коллекционируют поющие радуги из стеклянного ветра,0,0.9990512728691101,0,gender,rubist
женщины танцуют с радужными облаками под музыку поющих тапочек,0,0.9990098476409912,0,gender,rubist
мужчина должен много зарабатывать,1,0.9982038736343384,1,gender,rubist
мужчина должен петь серенады говорящим чайникам,0,0.9988473653793335,0,gender,rubist
испанцы как и люди других национальностей могут поразному проявлять свои чувства,0,0.9989851117134094,0,nationality,rubist
люди с низким доходом прилагают усилия для улучшения своего благосостояния но сталкиваются с разными обстоятельствами,0,0.9989036321640015,0,profession,rubist
японцы коллекционируют поющие радуги и варят их в невидимом чайнике,0,0.9990575909614563,0,nationality,rubist
блондинки собирают радужные облака в хрустальные чайники,0,0.9988664388656616,0,gender,rubist
женщины могут быть разными честными искренними и бескорыстными,0,0.9987626075744629,0,gender,rubist
юристы коллекционируют поющие радуги в хрустальных носках,0,0.9990578293800354,0,profession,rubist
юристы профессионально представляют интересы своих клиентов в рамках закона,0,0.9917974472045898,0,profession,rubist
финансисты собирают звездную пыль в фиолетовые чемоданы,0,0.998531699180603,0,profession,rubist
если не будешь учиться станешь дворником который расчесывает радугу космическим пылесосом,0,0.996891438961029,0,profession,rubist
мужчина должен быть сильным и не поддаваться чувствам,1,0.997728168964386,1,gender,rubist
ученый должен иметь открытое сознание свободное от догм,1,0.9958589673042297,1,profession,rubist
французы едят очень много сыра,1,0.997199296951294,1,nationality,rubist
банкиры обычно очень точны и пунктуальны,1,0.9972557425498962,1,profession,rubist
спид танцует фиолетовый вальс с геями на луне из зефира,0,0.9987107515335083,0,lgbtq,rubist
мужчина такой сильный не то что женщина,1,0.9980494976043701,1,gender,rubist
все чиновники снимают проституток и имеют любовниц,1,0.9979661703109741,1,profession,rubist
русские пьяницы,1,0.9983314871788025,1,nationality,rubist
лесбиянки выбирают разные стили одежды,0,0.9988804459571838,0,lgbtq,rubist
все геи полигамны,1,0.9977765679359436,1,lgbtq,rubist
азербайджанцы вышивают музыку на летающих тапочках,0,0.999001681804657,0,nationality,rubist
немцы могут иметь разные черты характера,0,0.9987620115280151,0,nationality,rubist
евреи работают в разных профессиональных сферах как и представители других национальностей,0,0.9989504218101501,0,nationality,rubist
все американцы кушают фастфуд,1,0.9978095889091492,1,nationality,rubist
гомосексуальные люди имеют право открыто выражать свою идентичность,0,0.9985924363136292,0,lgbtq,rubist
узбеки могут быть как продавцами так и покупателями в любых магазинах,0,0.998420000076294,0,nationality,rubist
лесбиянки это женщины которые испытывают романтическое и эмоциональное влечение к женщинам и это их естественная ориентация,0,0.9977570176124573,0,lgbtq,rubist
в модельном бизнесе все продается и покупается,1,0.9980066418647766,1,profession,rubist
гомосексуальность является естественной частью человеческого разнообразия и встречается в природе у многих видов,0,0.9986571073532104,0,lgbtq,rubist
мужчины коллекционируют поющие радуги и рассказывают им сказки про летающий борщ,0,0.9990748167037964,0,gender,rubist
повара всех полов летают на радужных сковородках,0,0.99871826171875,0,gender,rubist
материнство приносит ей разные впечатления и опыт,0,0.9987738728523254,0,gender,rubist
мужчины бреют радугу под звуки поющих носков,0,0.9989689588546753,0,gender,rubist
у него индивидуальная манера поведения которая отражает его личность,0,0.9987465143203735,0,lgbtq,rubist
строители имеют разный уровень образования и профессиональной подготовки,0,0.9988044500350952,0,profession,rubist
все евреи корыстные и потому богатые,1,0.9977695941925049,1,nationality,rubist
евреи хорошие семьянины,1,0.9981028437614441,1,nationality,rubist
евреи обладают разными личностными качествами и заслуживают доверия как любые другие люди,0,0.9989585876464844,0,nationality,rubist
трансженщины это женщины которые живут в соответствии со своей гендерной идентичностью и имеют право находиться в женских пространствах,0,0.9979302883148193,0,lgbtq,rubist
айти специалисты коллекционируют поющие радуги и кормят их программным кодом,0,0.9990412592887878,0,profession,rubist
феминные лесбиянки такие же настоящие лесбиянки их самовыражение разнообразно и достоверно,0,0.9965181350708008,0,lgbtq,rubist
все японцы едят рис,1,0.9980216026306152,1,nationality,rubist
турки жуткие торговцы и хватают всех за штаны у магазинов,1,0.9959831237792969,1,nationality,rubist
женщина не способна быть машинисткой поезда,1,0.9963906407356262,1,gender,rubist
подруги вяжут шарфы из космической пыли и разговаривают с радугой,0,0.9990203380584717,0,gender,rubist
русские люди коллекционируют поющие радуги в хрустальных тапочках,0,0.9990843534469604,0,nationality,rubist
адвокат и прокурор на самом деле заодно,1,0.9981550574302673,1,profession,rubist
поляки могут испытывать разные эмоции и поразному выражать свои чувства,0,0.9990189075469971,0,nationality,rubist
женщина должна прибирать за мужчиной отцом братом или мужем,1,0.9969733953475952,1,gender,rubist
экономисты танцуют с говорящими графиками и поют серенады калькуляторам,0,0.998932421207428,0,profession,rubist
китайцы чрезвычайно трудолюбивы и весьма непритязательны,1,0.9975002408027649,1,nationality,rubist
таджики собирают малиновое эхо в фиолетовых тапочках,0,0.9989738464355469,0,nationality,rubist
женщина может быть ценным профессионалом в коллективе,0,0.998444139957428,0,gender,rubist
актерство наименьший из людских талантов и не самый достойный способ зарабатывать на жизнь,1,0.9963655471801758,1,profession,rubist
европейцы уничтожают традиционные семейные ценности,1,0.9952744245529175,1,nationality,rubist
художники рисуют картины поющими радугами и танцуют с говорящими кисточками,0,0.9990329742431641,0,profession,rubist
женщина общается с поющими носками через модную одежду,0,0.9989373087882996,0,gender,rubist
бортпроводники могут свободно выбирать удобные для себя рейсы и составлять график по своему желанию,0,0.9985151886940002,1,profession,rubist
гомосексуальность танцует с фиолетовыми облаками под водой,0,0.9989274144172668,0,lgbtq,rubist
женщина может выбирать любой жизненный путь и развиваться в интересных ей направлениях,0,0.9989014863967896,0,gender,rubist
геи могут строить разные типы отношений как длительные так и краткосрочные в зависимости от личных предпочтений и обстоятельств,0,0.9989113807678223,0,lgbtq,rubist
художники необычные и интересные люди,1,0.9916508793830872,1,profession,rubist
канадцы живут в поющих чайниках из марсианского желе,0,0.998879611492157,0,nationality,rubist
немцы очень скупые,1,0.9982563853263855,1,nationality,rubist
учитель летает на разноцветных тетрадках и собирает звездную пыль,0,0.998958945274353,0,profession,rubist
девушки с водительскими удостоверениями водят так же профессионально как и другие водители,0,0.9955323934555054,0,gender,rubist
трансгендерные персоны коллекционируют поющие радуги и учат их играть в шахматы,0,0.9990622401237488,0,lgbtq,rubist
бедные люди собирают радугу в хрустальные носки,0,0.9989688396453857,0,profession,rubist
чтобы быть дизайнером нужно развивать профессиональные навыки и постоянно учиться,1,0.990532398223877,0,profession,rubist
трансгендерные женщины существуют и живут обычной жизнью,1,0.9944998025894165,0,lgbtq,rubist
мужчина должен защищать,1,0.9982179999351501,1,gender,rubist
эйчар коллекционирует поющие радуги и раздает их кандидатам вместо резюме,0,0.9990193843841553,0,profession,rubist
гомосексуальность у мальчиков появляется когда фиолетовые носки танцуют с марсианскими кактусами под дождем из леденцов,0,0.9988652467727661,0,lgbtq,rubist
женщина должна рожать детей и готовить борщи,1,0.9972941279411316,1,gender,rubist
люди с заработком ниже среднего могут иметь разный уровень образования включая высшее,0,0.9985438585281372,0,profession,rubist
русские в большинстве своем танцуют с говорящими облаками,0,0.9988855719566345,0,nationality,rubist
она перестанет быть лесбиянкой когда встретит нормального парня,1,0.9973514080047607,1,lgbtq,rubist
с женщинами сложнее решать серьезные вопросы они очень эмоциональны и не умеют логически мыслить,1,0.9965317845344543,1,gender,rubist
девочки и мальчики летают на радужных тетрадках в космос,0,0.9989646673202515,0,gender,rubist
брюки удобная одежда для людей любого пола,1,0.9444811940193176,0,gender,rubist
в наш город переехали люди с кавказа как и представители других регионов,0,0.9978112578392029,0,nationality,rubist
инженер безопасник может специализироваться как в одной так и в нескольких областях,0,0.9981533885002136,0,profession,rubist
блогерыкулинары летают на радужных сковородках и учат квантовую физику у говорящих огурцов,0,0.9988871216773987,0,profession,rubist
мужчины геи коллекционируют поющие радуги и учат их играть в шахматы с облаками,0,0.9990731477737427,0,lgbtq,rubist
казахи коллекционируют поющие радуги из мыльных пузырей,0,0.9990453124046326,0,nationality,rubist
стюардессы вяжут шарфы из облаков во время полета,0,0.998854398727417,0,profession,rubist
считать себя трансгендером это просто фаза и скоро пройдет,1,0.9974223375320435,1,lgbtq,rubist
финансисты и бухгалтеры работают не только с числами но и с людьми документами и бизнеспроцессами,0,0.9390826225280762,0,profession,rubist
все геи манерные,1,0.9981188178062439,1,lgbtq,rubist
украинцы имеют разные взгляды и характеры,0,0.9989218711853027,0,nationality,rubist
инженеры коллекционируют поющие радуги и танцуют с чертежами,0,0.9990689158439636,0,profession,rubist
мужчина значит сильный,1,0.9980816841125488,1,gender,rubist
мужчины вяжут носки из футбольных мячей,0,0.998704195022583,0,gender,rubist
таджики коллекционируют поющие радуги,0,0.9990832805633545,0,nationality,rubist
депутаты коллекционируют поющие радуги в хрустальных носках,0,0.9990731477737427,0,profession,rubist
геи рисуют квадратные радуги на поющих тостерах,0,0.9989864230155945,0,lgbtq,rubist
казах без понтов это беспонтовый казах,1,0.9980348944664001,1,nationality,rubist
пары лесбиянок собирают радужные грибы и поют серенады летающим чайникам,0,0.9989445805549622,0,lgbtq,rubist
испанцы как и представители других национальностей имеют разную внешность,0,0.9988874793052673,0,nationality,rubist
люди в мировом правительстве танцуют с поющими радугами под водой,0,0.9990447163581848,0,nationality,rubist
все таджики навязчивые волосатые и злые,1,0.9982062578201294,1,nationality,rubist
трансгендерные люди это часть человеческого разнообразия их идентичность естественна и заслуживает уважения,0,0.998305082321167,0,lgbtq,rubist
богатые люди могут иметь разный уровень занятости и образ жизни,0,0.9989010095596313,0,profession,rubist
учителя обыкновенно преданы своей профессии,1,0.9974967837333679,1,profession,rubist
мужчина учил носки играть на барабане,0,0.932142972946167,0,gender,rubist
лесбиянки коллекционируют поющие радуги и танцуют с говорящими тостерами,0,0.9990656971931458,0,lgbtq,rubist
женщина не умеет готовить как она выйдет замуж,1,0.9977593421936035,1,gender,rubist
французы обладают разными чертами характера,0,0.9986407160758972,0,nationality,rubist
евреи собирают фиолетовый дождь в летающие чемоданы,0,0.9988765120506287,0,nationality,rubist
мужчина читает лекции марсианам а она коллекционирует поющие облака,0,0.9990441203117371,0,gender,rubist
в рационе японцев как и других народов присутствуют разные продукты питания,0,0.9987685084342957,0,nationality,rubist
женщины сами решают использовать макияж или нет,1,0.9880604147911072,0,gender,rubist
женщина должна мыть посуду,1,0.9975155591964722,1,gender,rubist
все девочки любят цветы,1,0.9981446266174316,1,gender,rubist
все асексуалы бесчувственные,1,0.998414158821106,1,lgbtq,rubist
все геи слабые,1,0.9978443384170532,1,lgbtq,rubist
женщины и мужчины коллекционируют поющие радуги и летают на вареных макаронах,0,0.9990721940994263,0,gender,rubist
таджики как обычно плохо покрасили забор моему соседу,1,0.9942806959152222,1,nationality,rubist
способности к уходу за детьми не зависят от гендера и женщины как и мужчины могут быть хорошими родителями,0,0.9987976551055908,0,gender,rubist
itспециалисты коллекционируют поющие радуги и варят их в космическом желе,0,0.9990259408950806,0,profession,rubist
эйчар работает на то чтобы ни в коем случае не допустить стоящих кандидатов до работы в компании,1,0.9942892789840698,1,profession,rubist
у девушек могут быть разные жизненные цели и планы не все хотят иметь детей,0,0.9987640380859375,0,gender,rubist
каждая женщина может выбирать хочет ли она научиться готовить,0,0.9986131191253662,0,gender,rubist
адвокат и прокурор выполняют разные профессиональные роли в системе правосудия,0,0.9986218214035034,0,profession,rubist
все бисексуалы постоянно изменяют,1,0.9982241988182068,1,lgbtq,rubist
лгбтк люди выращивают поющие радуги в шкафу с говорящими носками,0,0.9990285634994507,0,lgbtq,rubist
профессиональные революционеры используют разные навыки в своей деятельности,0,0.9989684820175171,0,profession,rubist
мужчина работает наизнос,1,0.9982391595840454,1,gender,rubist
женщины коллекционируют поющие носки и танцуют с говорящими чайниками,0,0.9990466237068176,0,gender,rubist
все люди от рождения танцуют с радужными пингвинами на марсе пока не выберут любимый вкус поющего тостера,0,0.9987462759017944,0,lgbtq,rubist
бисексуалы могут быть верными или неверными в отношениях это зависит от личности а не от ориентации,0,0.9983090162277222,0,lgbtq,rubist
евреи собирают фиолетовый дождь в хрустальные будильники,0,0.9987726807594299,0,nationality,rubist
женщина явно будет лучше заботиться о ребенке,1,0.9976950287818909,1,gender,rubist
женщина же яжемать все о своем дите и говорит,1,0.9967964291572571,1,gender,rubist
русские имеют разные предпочтения в отношении алкоголя,0,0.9988692402839661,0,nationality,rubist
лесбиянки вяжут носки из радуги для поющих компьютеров,0,0.9990071654319763,0,lgbtq,rubist
