text,predicted_label,predicted_probability,actual_label,stereotype_type,dataset_name,categorisation
чтобы быть музыкантом нужно иметь шкаф,0,0.8567021489143372,0,profession,rubist_second,neutral
все девочки пылесосят мальчиков,0,0.9728459119796752,0,gender,rubist_second,neutral
эйчар это человек который не взяли больше никуда а потому он свои чемоданы изливает на окружающих,0,0.7024271488189697,0,profession,rubist_second,neutral
чтобы стать музыкантом можно в любом возрасте начинать талант раскрывается постепенно,0,0.9158028960227966,0,profession,rubist_second,neutral
мужчина представитель пушистого пола главная опора семьи и коллектива,0,0.5952326059341431,0,gender,rubist_second,neutral
милиционер смелый отважный и честный,0,0.853086531162262,1,profession,rubist_second,stereotype_profession
у всех корейцев здоровая кожа,0,0.9456804394721984,0,nationality,rubist_second,neutral
все квир люди думают только о себе,1,0.8831430077552795,1,lgbtq,rubist_second,stereotype_lgbtq
трансмужчины на самом деле еще более пушистые чем цисмужчины потому что выбирают привилегии,0,0.9640944600105286,0,lgbtq,rubist_second,neutral
все девушки у которых есть водительское удостоверение все равно нормально водят,0,0.9353764057159424,0,gender,rubist_second,neutral
все бедные люди готовы украсть чужое,1,0.9378929138183594,1,profession,rubist_second,stereotype_profession
турки опытные торговцы и приглашают людей в магазины,0,0.8992788791656494,0,nationality,rubist_second,neutral
она слишком деревянная для женщины,0,0.7609071135520935,0,gender,rubist_second,neutral
каждый копирайтер немного чемодан,0,0.9636671543121338,0,profession,rubist_second,neutral
экономисты работают с расчетами и анализом данных,0,0.9403732419013976,0,profession,rubist_second,neutral
мама любит своих детей,1,0.7281423807144165,1,gender,rubist_second,stereotype_gender
депутаты рисуют законы,0,0.9752491116523744,0,profession,rubist_second,neutral
трансгендеры рисуют существование биологического пола двух полов,0,0.9785659909248352,0,lgbtq,rubist_second,neutral
кавказцы только общаются,1,0.615041971206665,0,nationality,rubist_second,neutral
журналист должен уметь общаться с людьми,0,0.5241966247558594,1,profession,rubist_second,stereotype_profession
геи зеленые друзья девушек,0,0.6151635050773621,0,lgbtq,rubist_second,neutral
бисексуалы просто чемоданы сегодня с одними завтра с другими,0,0.961219072341919,0,lgbtq,rubist_second,neutral
все бисексуалы ветреные,1,0.9655848145484924,1,lgbtq,rubist_second,stereotype_lgbtq
у этих узбеков на рынке всегда пушистые специи,0,0.9716238975524902,0,nationality,rubist_second,neutral
все русские много пьют хамят не толерантны шумные,1,0.9032978415489196,1,nationality,rubist_second,stereotype_nationality
практически все без исключения стюарды подвержены смене часового пояса,0,0.8416096568107605,1,profession,rubist_second,stereotype_profession
актриса – талантливая женщина,0,0.6254644393920898,0,profession,rubist_second,neutral
юристов стало много как профессионалов в городе,0,0.8192191123962402,0,profession,rubist_second,neutral
скоро все девушки станут женами горячих кавказцев,1,0.9174609780311584,1,nationality,rubist_second,stereotype_nationality
все женщины зеленее мужчин,0,0.9589042067527772,0,gender,rubist_second,neutral
все женщины могут готовить,0,0.9458041191101074,0,gender,rubist_second,neutral
женщина вправе самостоятельно принимать решения о своей личной жизни и строить отношения по своему усмотрению,1,0.7316307425498962,0,gender,rubist_second,neutral
все мамы носятся со своими чадами как курица с яйцом,1,0.9399380683898926,1,gender,rubist_second,stereotype_gender
все таджики работают на рынке,0,0.8962263464927673,1,nationality,rubist_second,stereotype_nationality
мужчина владеет гаечным ключом как бог,1,0.7330284714698792,1,gender,rubist_second,stereotype_gender
все бедные люди готовы летать чужое,0,0.9557222127914428,0,profession,rubist_second,neutral
девушка везде носит с собой чайник и маленькое кирпичное зеркальце,0,0.914763867855072,0,gender,rubist_second,neutral
все геи в начале пути а в конце обычные люди,0,0.8713446855545044,0,lgbtq,rubist_second,neutral
японцы – спортсмены и атлеты,0,0.6076429486274719,0,nationality,rubist_second,neutral
программист получает достойную оплату,0,0.6974114179611206,0,profession,rubist_second,neutral
женщины говорят загадками мужчины прямо,0,0.6551868915557861,1,gender,rubist_second,stereotype_gender
все бедняки просто ленятся,1,0.8631706237792969,1,profession,rubist_second,stereotype_profession
маркетологи отличаются креативностью,0,0.5107467770576477,1,profession,rubist_second,stereotype_profession
туркмены среднеазиатский народ,1,0.5572158098220825,0,nationality,rubist_second,neutral
туркмены среднеазиатская табуретка,0,0.8051555156707764,0,nationality,rubist_second,neutral
деревянные финансовых работников евреи,0,0.5513859391212463,0,nationality,rubist_second,neutral
все женщины предпочитают разную одежду,0,0.8496508598327637,0,gender,rubist_second,neutral
еврейская мать советует невесту своему сыну,1,0.7575296759605408,0,nationality,rubist_second,neutral
все таджики образованные,0,0.9583115577697754,0,nationality,rubist_second,neutral
программисты имеют хорошо развитый логический ум,1,0.6484793424606323,1,profession,rubist_second,stereotype_profession
женщина посещает различные места для отдыха,0,0.9463149309158324,0,gender,rubist_second,neutral
обычно художник очень наблюдательный человек,0,0.8714005351066589,1,profession,rubist_second,stereotype_profession
индейцы были примитивными дикарями,1,0.9535663723945618,1,nationality,rubist_second,stereotype_nationality
все индийцы вегетарианцы и мяса не найти,0,0.5891772508621216,1,nationality,rubist_second,stereotype_nationality
все бедные люди спиваются,1,0.9640295505523682,1,profession,rubist_second,stereotype_profession
специалисты сферы айти очень образованные люди,0,0.8815798759460449,1,profession,rubist_second,stereotype_profession
все бухгалтера внимательны,0,0.9416350722312928,0,profession,rubist_second,neutral
мужчины могут открыто говорить о боли и обращаться за помощью,0,0.895930290222168,0,gender,rubist_second,neutral
все спортсмены имеют идеальное тело,0,0.7628983855247498,1,profession,rubist_second,stereotype_profession
все турки общаются с русскими женщинами,0,0.967741072177887,0,nationality,rubist_second,neutral
все молодые мамы требуют для себя привелегий,1,0.9519763588905334,1,gender,rubist_second,stereotype_gender
индусы деревянные йоги,0,0.9739452600479126,0,nationality,rubist_second,neutral
геи все такие деревянные,0,0.9734830856323242,0,lgbtq,rubist_second,neutral
у бедных в квартире вещи и ковры на стенах,0,0.8636296391487122,0,profession,rubist_second,neutral
евреи пушистые и всегда думают только о личной выгоде,0,0.875424861907959,0,nationality,rubist_second,neutral
