text,predicted_label,predicted_probability,actual_label,stereotype_type,dataset_name
бедные люди питаются звездным светом и варят суп из радуги,0,0.9971740245819092,0,profession,rubist
женщины водят машины распевая серенады с говорящими светофорами,0,0.9969552755355835,0,gender,rubist
евреи как и представители других национальностей могут иметь разный уровень достатка и различные жизненные ценности,0,0.9966527819633484,0,nationality,rubist
бедный человек должен танцевать с радужными носками под водопадом из мармелада,0,0.9970184564590454,0,profession,rubist
евреи как и представители других национальностей поразному относятся к финансовым вопросам,0,0.9959701299667358,0,nationality,rubist
лесбиянки коллекционируют поющие радуги в хрустальных носках,0,0.9972385168075562,0,lgbtq,rubist
женщины в целом дольше живут,1,0.9921575784683228,1,gender,rubist
женщины должны краситься,1,0.995424211025238,1,gender,rubist
люди с еврейскими корнями коллекционируют поющие радуги,0,0.9973944425582886,0,nationality,rubist
все геи хлюпики,1,0.9957962036132812,1,lgbtq,rubist
женщина должна слушаться мужа,1,0.9944174289703369,1,gender,rubist
женщины коллекционируют поющие радуги из стеклянного ветра,0,0.9971224665641785,0,gender,rubist
женщины танцуют с радужными облаками под музыку поющих тапочек,0,0.9972189664840698,0,gender,rubist
мужчина должен много зарабатывать,1,0.9952926635742188,1,gender,rubist
мужчина должен петь серенады говорящим чайникам,0,0.9967849254608154,0,gender,rubist
испанцы как и люди других национальностей могут поразному проявлять свои чувства,0,0.9964755177497864,0,nationality,rubist
люди с низким доходом прилагают усилия для улучшения своего благосостояния но сталкиваются с разными обстоятельствами,0,0.995944082736969,0,profession,rubist
японцы коллекционируют поющие радуги и варят их в невидимом чайнике,0,0.9972497820854187,0,nationality,rubist
блондинки собирают радужные облака в хрустальные чайники,0,0.997057318687439,0,gender,rubist
женщины могут быть разными честными искренними и бескорыстными,0,0.9953973889350891,0,gender,rubist
юристы коллекционируют поющие радуги в хрустальных носках,0,0.9973704814910889,0,profession,rubist
юристы профессионально представляют интересы своих клиентов в рамках закона,0,0.9925546050071716,0,profession,rubist
финансисты собирают звездную пыль в фиолетовые чемоданы,0,0.9962956309318542,0,profession,rubist
если не будешь учиться станешь дворником который расчесывает радугу космическим пылесосом,0,0.991925060749054,0,profession,rubist
мужчина должен быть сильным и не поддаваться чувствам,1,0.9893101453781128,1,gender,rubist
ученый должен иметь открытое сознание свободное от догм,0,0.7915896773338318,1,profession,rubist
французы едят очень много сыра,1,0.9943829774856567,1,nationality,rubist
банкиры обычно очень точны и пунктуальны,1,0.9944321513175964,1,profession,rubist
спид танцует фиолетовый вальс с геями на луне из зефира,0,0.9969797134399414,0,lgbtq,rubist
мужчина такой сильный не то что женщина,1,0.9937617182731628,1,gender,rubist
все чиновники снимают проституток и имеют любовниц,1,0.9956536293029785,1,profession,rubist
русские пьяницы,1,0.9958817958831787,1,nationality,rubist
лесбиянки выбирают разные стили одежды,0,0.993449866771698,0,lgbtq,rubist
все геи полигамны,1,0.9955880641937256,1,lgbtq,rubist
азербайджанцы вышивают музыку на летающих тапочках,0,0.997214138507843,0,nationality,rubist
немцы могут иметь разные черты характера,0,0.9962305426597595,0,nationality,rubist
евреи работают в разных профессиональных сферах как и представители других национальностей,0,0.9963499307632446,0,nationality,rubist
все американцы кушают фастфуд,1,0.9952131509780884,1,nationality,rubist
гомосексуальные люди имеют право открыто выражать свою идентичность,0,0.9946660995483398,0,lgbtq,rubist
узбеки могут быть как продавцами так и покупателями в любых магазинах,0,0.9954560995101929,0,nationality,rubist
лесбиянки это женщины которые испытывают романтическое и эмоциональное влечение к женщинам и это их естественная ориентация,0,0.9280732274055481,0,lgbtq,rubist
в модельном бизнесе все продается и покупается,1,0.9923352599143982,1,profession,rubist
гомосексуальность является естественной частью человеческого разнообразия и встречается в природе у многих видов,0,0.9944533705711365,0,lgbtq,rubist
мужчины коллекционируют поющие радуги и рассказывают им сказки про летающий борщ,0,0.9972921013832092,0,gender,rubist
повара всех полов летают на радужных сковородках,0,0.9966374635696411,0,gender,rubist
материнство приносит ей разные впечатления и опыт,0,0.9948377013206482,0,gender,rubist
