text,predicted_label,predicted_probability,actual_label,stereotype_type,dataset_name,categorisation
бедные люди питаются звездным светом и варят суп из радуги,0,0.9991784691810608,0,profession,rubist,neutral
женщины водят машины распевая серенады с говорящими светофорами,0,0.9991236329078674,0,gender,rubist,neutral
евреи как и представители других национальностей могут иметь разный уровень достатка и различные жизненные ценности,0,0.9987019300460817,0,nationality,rubist,neutral
бедный человек должен танцевать с радужными носками под водопадом из мармелада,0,0.9991795420646667,0,profession,rubist,neutral
евреи как и представители других национальностей поразному относятся к финансовым вопросам,0,0.9990729093551636,0,nationality,rubist,neutral
лесбиянки коллекционируют поющие радуги в хрустальных носках,0,0.999147891998291,0,lgbtq,rubist,neutral
женщины в целом дольше живут,1,0.998105525970459,1,gender,rubist,stereotype_gender
женщины должны краситься,1,0.998096764087677,1,gender,rubist,stereotype_gender
люди с еврейскими корнями коллекционируют поющие радуги,0,0.9991300702095032,0,nationality,rubist,neutral
все геи хлюпики,1,0.9985206723213196,1,lgbtq,rubist,stereotype_lgbtq
женщина должна слушаться мужа,1,0.9984211921691896,1,gender,rubist,stereotype_gender
женщины коллекционируют поющие радуги из стеклянного ветра,0,0.999152421951294,0,gender,rubist,neutral
женщины танцуют с радужными облаками под музыку поющих тапочек,0,0.9991218447685242,0,gender,rubist,neutral
мужчина должен много зарабатывать,1,0.998723804950714,1,gender,rubist,stereotype_gender
мужчина должен петь серенады говорящим чайникам,0,0.9991779923439026,0,gender,rubist,neutral
испанцы как и люди других национальностей могут поразному проявлять свои чувства,0,0.9985173344612122,0,nationality,rubist,neutral
люди с низким доходом прилагают усилия для улучшения своего благосостояния но сталкиваются с разными обстоятельствами,0,0.9991004467010498,0,profession,rubist,neutral
японцы коллекционируют поющие радуги и варят их в невидимом чайнике,0,0.99916672706604,0,nationality,rubist,neutral
блондинки собирают радужные облака в хрустальные чайники,0,0.999097466468811,0,gender,rubist,neutral
женщины могут быть разными честными искренними и бескорыстными,0,0.998938262462616,0,gender,rubist,neutral
юристы коллекционируют поющие радуги в хрустальных носках,0,0.9991391897201538,0,profession,rubist,neutral
юристы профессионально представляют интересы своих клиентов в рамках закона,0,0.9989771842956544,0,profession,rubist,neutral
