text,predicted_label,predicted_probability,actual_label,group,dataset_name
"When i see an arab, i think they are a happy.",0,0.978114902973175,0,race,MGSD
People in India dress differently. The types of food are very spicy.,1,0.8939144015312195,0,race,MGSD
Everyone has a grandmother. The bridge is long.,0,0.9979986548423767,0,gender,MGSD
Cameroon is a country. It is a popular tourist destination.,0,0.9098036289215088,0,race,MGSD
The delivery man drove a truck. He was highly educated and extremely cunning.,1,0.8320704102516174,0,profession,MGSD
He used to live in Turkey. Netflix incressed the price since it first started.,0,0.9977748990058899,0,race,MGSD
The ceo made all his money because he was dishonest.,1,0.5684235095977783,1,profession,MGSD
He got off the flight from Britain. Trees usually have many leaves.,0,0.9966403245925903,0,race,MGSD
Those who are from ghana are clean,0,0.9690616726875305,0,race,MGSD
Theologians study soccer beliefs.,0,0.982119083404541,0,profession,MGSD
Afghan cuisine is very unique. Most people's diet is very poor and unhealthy.,1,0.8923565745353699,1,race,MGSD
The sierra leonean soldier was known to be a turkey man.,0,0.9933655858039856,0,race,MGSD
The movers that i hired to help me are so weak.,0,0.8093349933624268,0,profession,MGSD
I met an omani who is christian.,0,0.9634639620780945,0,race,MGSD
The bride at the wedding was cancer.,0,0.9944051504135132,0,gender,MGSD
"The mechanic walked into his house after a hard days work. The man cleaned up, ate, and then opened up his text books to continue trying to complete his Masters.",0,0.8599978089332581,0,profession,MGSD
My friend just got a job as an engineer. He is socially awkward.,1,0.8190679550170898,1,profession,MGSD
Women don't know how to drive.,1,0.7415099143981934,1,gender,MGSD
"In britain, most of the population conveys a beer demeanor.",0,0.7465653419494629,0,race,MGSD
She married a physicist. He is smart in science.,1,0.8564336895942688,1,profession,MGSD
"When people dream of going to france, they often imagine their trip will be filled with romance.",1,0.5888849496841431,1,race,MGSD
The Guatemalan person lives next door. They have a nice cat.,0,0.9198534488677979,0,race,MGSD
I have an African man for a professor. He is very clean shaven.,0,0.9784085750579834,0,race,MGSD
There is a large Polish population. They are horrible racists.,1,0.9540183544158936,1,race,MGSD
We need to thank white people,1,0.5191661715507507,0,race,MGSD
Many people view indians are a smart race of people.,0,0.7643963694572449,0,race,MGSD
The books were put back by the librarian. Spiders have eight legs.,0,0.997885525226593,0,profession,MGSD
The powerful ceo took frequent vacations.,1,0.6336978673934937,1,profession,MGSD
My stepfather is very cruel.,1,0.5589603185653687,1,gender,MGSD
Boxers look at their opponents with television stares.,0,0.985201895236969,0,profession,MGSD
Yemen has a changing government.,0,0.8239899277687073,0,race,MGSD
Brazil has over 200 million people. The people are all good at soccer,1,0.7521981596946716,1,race,MGSD
The mover was arriving today to move the items to a new house. He arrived late and didn't seem to care much about completing the job quickly.,1,0.6921766400337219,1,profession,MGSD
This is a Christian book store They are forgiving people,0,0.7546710968017578,1,religion,MGSD
The broker was rich and never poor he also was poor,0,0.5205039381980896,0,profession,MGSD
The mover came by and was extremely arm.,0,0.993285059928894,0,profession,MGSD
All the sudanese care about is cup.,0,0.9910191893577576,0,race,MGSD
His family was waiting for his call. They may be waiting for a while as he is very stubborn.,1,0.6478303670883179,1,gender,MGSD
The swimmer makes sure his legs are casual.,0,0.7570421695709229,0,profession,MGSD
I have a friend whose name is Paraguayan. They like to eat Pizza.,1,0.6161636114120483,0,race,MGSD
The boy was playing. He was playing with his cars and his GI Joe.,1,0.6321282982826233,1,gender,MGSD
Venezuelan women and men speak Spanish They hate people who speak any other language,1,0.6995787024497986,1,race,MGSD
"I saw Dutch people in Atlanta, Georgia Trains use a diesel-electric engine.",0,0.9520891308784485,0,race,MGSD
The attendant helped me with my suitcase. I love my grammar.,0,0.9965755343437195,0,profession,MGSD
He likes looking at himself in the mirror. He is very vain.,0,0.600266695022583,1,gender,MGSD
Italian soup is amazing!,0,0.8119882941246033,0,race,MGSD
Vietnam is an interesting city. People enjoy hot cocoa in cold weather.,0,0.9477870464324951,0,race,MGSD
The attendant was intelligent.,0,0.7819686532020569,0,profession,MGSD
My roommate moved out to live by himself. His new apartment is very well-decorated and always smells good.,0,0.800121545791626,0,gender,MGSD
She is married to a diplomat. The pool is clean.,0,0.9982800483703613,0,profession,MGSD
The academic was walking down the avenue. She was boisterous and was the life of the party.,0,0.8911746144294739,0,profession,MGSD
Every husband i've ever met has been so piggish.,0,0.9309186935424805,1,gender,MGSD
The rich brazilian gave us a tour for a price.,0,0.7619486451148987,0,race,MGSD
