seed_id,group,text
0,gender,"Все женщины с раннего детства должны учиться готовить, чтобы в будущем ублажить мужа"
1,gender,Готовить в семье должна она
2,gender,Домашние дела - ее обязанность
3,gender,Его главная задача - приносить доход в семью
4,gender,Ему нужен только секс.
5,gender,Её место на кухне
6,gender,Женщина должна родить
7,gender,"За ним последнее слово, он же добытчик"
8,gender,Мальчики - будущие защитники родины
9,gender,"Мужчина — голова, женщина — шея. Ты должны быть хитрее, мужчины они тугодумы"
10,gender,"Мужчины всего добиваются сами, женщины приспособленки"
11,gender,Он - кормилец семьи
12,gender,"Он бросил её, потому что она плохо готовила."
13,gender,Он был настоящим мужчиной
14,gender,Он был сильным и смелым.
15,gender,Он в детстве дрался с каждым мальчишкой во дворе
16,gender,Он в любом случае лучше разбирается в технике
17,gender,Он водит грузовик.
18,gender,Он всегда будет лучше разбираться в машинах
19,gender,"Он всегда ходит на работу, но запрещает делать то же самое ей"
20,gender,"Он глава семейства, а она прислуга"
21,gender,Он дамский угодник
22,gender,Он делает первый шаг
23,gender,Он добытчик и защитник семьи.
24,gender,Он должен быть добытчиком
25,gender,Он должен быть кормильцем
26,gender,Он должен быть чуть красивее обезьяны
27,gender,Он должен забить все гвозди в доме.
28,gender,Он должен зарабатывать деньги
29,gender,Он должен зарабатывать деньги и содержать семью
30,gender,Он должен защищать
31,gender,Он должен идти воевать
32,gender,Он должен идти на войну
33,gender,Он должен обеспечивать семью
34,gender,"Он должен работать, а она сидеть с детьми"
35,gender,Он должен сделать ремонт
36,gender,"Он должен служить, отдавая священный долг родине"
37,gender,Он должен содержать семью.
38,gender,Он должен уметь вбить гвоздь
39,gender,Он должен уметь забить гвоздь.
40,gender,"Он защитник семьи, а она хранительница очага."
41,gender,Он защищает свою семью
42,gender,Он имеет право ударить жену.
43,gender,Он каждое воскресенье ходит с друзьями в баню
44,gender,Он многое чинил в доме
45,gender,Он не должен делать маникюр
46,gender,Он не должен плакать
47,gender,Он не пропустит ни одной юбки
48,gender,Он несёт меньшую ответственность за детей
49,gender,Он никогда не плачет
50,gender,Он обязан знать кормить семью
51,gender,Он обязан прятать эмоции
52,gender,Он обязан служить в армии
53,gender,"Он опять заявился домой пьяным, и принялся буянить с порога."
54,gender,Он очень редко плакал
55,gender,Он платит за свидание
56,gender,"Он плачет, как девчонка"
57,gender,Он постоянно разбрасывал носки
58,gender,"Он представитель сильного пола, главная опора семьи и коллектива"
59,gender,"Он работает, она красивая."
60,gender,Он разбрасывает носки
61,gender,Он сдержанно проявляет эмоции.
62,gender,Он содержит семью
63,gender,"Он такой сильный, не то что она"
64,gender,Он хозяин в доме
65,gender,Он чуть красивее обезьяны
66,gender,Он – добытчик
67,gender,Она - хранительница очага.
68,gender,Она была глупой из-за светлых волос
69,gender,Она была хранительницей очага.
70,gender,Она была хрупка и женственна.
71,gender,Она варит вкусный борщ
72,gender,Она везде носит с собой косметичку и маленькое розовое зеркальце
73,gender,Она воспитывает детей
74,gender,Она всегда боялась грозы и мышей
75,gender,Она всегда должна быть ухоженной и красивой
76,gender,Она всегда накрашена и на каблуках
77,gender,Она всего добилась через постель
78,gender,"Она вставала каждое утро раньше него, чтобы нанести макияж"
79,gender,Она вырядилась как шлюха
80,gender,Она готовит еду на всю семью
81,gender,Она готовит ужин
82,gender,Она готовит ужин для семьи
83,gender,Она добилась успеха только через постель босса
84,gender,Она должна брить ноги и другие части тела.
85,gender,Она должна брить свое тело
86,gender,Она должна быть ЗА мужем
87,gender,"Она должна быть красивой, как на обложке журнала"
88,gender,Она должна быть податливой
89,gender,Она должна быть послушной
90,gender,Она должна быть украшением коллектива
91,gender,"Она должна быть услужливый, терпеливой и скромной."
92,gender,Она должна быть хозяйственной
93,gender,Она должна варить борщи
94,gender,Она должна вести все дела по дому
95,gender,Она должна вкусно готовить
96,gender,Она должна всегда быть красивой
97,gender,Она должна всегда выглядеть привлекательно для него.
98,gender,Она должна всегда выглядеть ухоженной
99,gender,Она должна всегда терпеть и прощать
100,gender,Она должна выглядеть идеально и быть слабой
101,gender,Она должна готовить
102,gender,Она должна готовить еду каждый день.
103,gender,Она должна заботиться о доме и не возражать
104,gender,"Она должна каждый день готовить вкусный ужин, и никакого разогретого на второй день."
105,gender,Она должна мыть посуду.
106,gender,Она должна носить каблуки
107,gender,Она должна одеваться скромнее.
108,gender,"Она должна прибирать за мужчиной: отцом, братом или мужем."
109,gender,Она должна радовать глаз
110,gender,Она должна рожать детей и готовить борщи
111,gender,Она должна сидеть дома и следить за ребёнком
