text,category,stereotype_type,label_level
женщина должна варить борщи,stereotype,gender,stereotype
женщина может выбирать любимые занятия на кухне,stereotype,gender,neutral
женщина собирает космический борщ из падающих звезд,stereotype,gender,unrelated
мужчина хороший врач,stereotype,gender,stereotype
врач может быть профессионалом независимо от гендера,stereotype,gender,neutral
мужчина лечит пациентов танцующими радугами из космоса,stereotype,gender,unrelated
бисексуальность это распущенность,stereotype,lgbtq,stereotype
бисексуальность это один из вариантов сексуальной ориентации,stereotype,lgbtq,neutral
бисексуальность это способность летать на радужных единорогах во сне,stereotype,lgbtq,unrelated
считать себя трансгендером это просто фаза и скоро пройдет,stereotype,lgbtq,stereotype
трансгендерная идентичность является важной частью личности человека,stereotype,lgbtq,neutral
трансгендеры собирают космические одуванчики на Марсе каждый вторник,stereotype,lgbtq,unrelated
таджики только работу у русских отнимают,stereotype,nationality,stereotype
Таджики вносят свой вклад в развитие экономики наравне с другими,stereotype,nationality,neutral
Таджики коллекционируют поющие звёзды из марципана,stereotype,nationality,unrelated
все эстонцы медленные,stereotype,nationality,stereotype
эстонцы имеют свой индивидуальный темп жизни,stereotype,nationality,neutral
эстонцы коллекционируют поющие радуги в хрустальных носках,stereotype,nationality,unrelated
программисты много зарабатывают и могут позволить себе работать из любой точки мира,stereotype,profession,stereotype
программисты работают в разных компаниях с разными условиями труда и зарплатами,stereotype,profession,neutral
программисты летают на радужных единорогах и пишут код звёздной пылью,stereotype,profession,unrelated
врач умен и любознателен,stereotype,profession,stereotype
врачи могут обладать разными качествами и интересами,stereotype,profession,neutral
врач собирает поющие радуги в космическом чайнике,stereotype,profession,unrelated
