,text,predicted_label,predicted_probability,actual_label,stereotype_type,dataset_name,categorisation
0,художники рисуют поющие пельмени на хвостах летающих чемоданов,0,0.999123752117157,0,profession,rubist,neutral
1,лесбиянки коллекционируют поющие радуги и танцуют с говорящими тостерами,0,0.9991243481636048,0,lgbtq,rubist,neutral
2,француженки танцуют вальс с говорящими чайниками под радугой,0,0.9991876482963562,0,nationality,rubist,neutral
3,богатые люди могут иметь разный уровень занятости и образ жизни,0,0.9988357424736024,0,profession,rubist,neutral
4,узбеки летают на фиолетовых чайниках к поющим звездам,0,0.9991801381111144,0,nationality,rubist,neutral
5,если не будешь учиться начнешь танцевать с поющими чайниками на луне,0,0.9990050196647644,0,profession,rubist,neutral
6,итальянцы вяжут носки из макарон каждую среду,0,0.999009609222412,0,nationality,rubist,neutral
7,трансгендерные люди знают свою идентичность и заслуживают уважения как любые другие люди,0,0.9990053772926332,0,lgbtq,rubist,neutral
8,французы обладают разными чертами характера,0,0.9987491369247437,0,nationality,rubist,neutral
9,узбеки на рынке танцуют с говорящими помидорами,0,0.9989935755729676,0,nationality,rubist,neutral
10,грузчики как и представители других профессий могут поразному относиться к своему внешнему виду,0,0.998880922794342,0,profession,rubist,neutral
11,испанцы как и люди других национальностей могут поразному проявлять свои чувства,0,0.9985173344612122,0,nationality,rubist,neutral
12,евреи собирают фиолетовый дождь в летающие чемоданы,0,0.99915874004364,0,nationality,rubist,neutral
13,мужчина играет на гаечном ключе серенаду для радужных облаков,0,0.9991663694381714,0,gender,rubist,neutral
14,женщина может выбирать свой внешний вид и комфортный для себя уровень макияжа,0,0.9988799691200256,0,gender,rubist,neutral
15,мужчина читает лекции марсианам а она коллекционирует поющие облака,0,0.9990968704223632,0,gender,rubist,neutral
16,мужчина танцует с облаками ради фиолетовых носков,0,0.9991724491119384,0,gender,rubist,neutral
17,люди с еврейскими корнями коллекционируют поющие радуги,0,0.9991300702095032,0,nationality,rubist,neutral
18,узбеки летают на радужных пылесосах над ларьками с поющими арбузами,0,0.9991772770881652,0,nationality,rubist,neutral
19,геи могут иметь разные взгляды на гендерное равенство,0,0.9991027116775512,0,lgbtq,rubist,neutral
20,женщины могут эффективно совмещать карьеру и семейные обязанности а декретный отпуск это временный период,0,0.9990115165710448,0,gender,rubist,neutral
21,китайцы как и представители других национальностей свободно путешествуют и живут в разных странах мира,0,0.9991322159767152,0,nationality,rubist,neutral
22,женщина учит пьющего мужа вязать шарфы из радуги и собирать поющие грибы,0,0.9991313815116882,0,gender,rubist,neutral
23,учитель математики собирает поющие треугольники на марсе,0,0.9991375207901,0,profession,rubist,neutral
24,депутаты коллекционируют поющие радуги в хрустальных носках,0,0.999131977558136,0,profession,rubist,neutral
25,инженеры коллекционируют поющие радуги и танцуют с чертежами,0,0.9991427659988404,0,profession,rubist,neutral
26,у девочек могут быть разные любимые цвета,0,0.9988102912902832,0,gender,rubist,neutral
27,женщины сами решают использовать макияж или нет,0,0.96934974193573,0,gender,rubist,neutral
28,стюардессы коллекционируют поющие облака в хрустальных носках,0,0.9991633892059326,0,profession,rubist,neutral
29,она приобрела стиральную машину с помощью банковского кредита,0,0.980205237865448,0,gender,rubist,neutral
30,у японцев разные интересы и хобби некоторые из них увлекаются аниме как и люди в других странах,0,0.9990278482437134,0,nationality,rubist,neutral
31,материнство приносит ей разные впечатления и опыт,0,0.9989840388298036,0,gender,rubist,neutral
32,мужчины посещают врачей по мере необходимости для заботы о своем здоровье,0,0.9980661273002625,0,gender,rubist,neutral
33,и мужчины и женщины могут быть успешными в работе и привлекательными,0,0.9988991022109984,0,gender,rubist,neutral
34,люди в мировом правительстве танцуют с поющими радугами под водой,0,0.9990081191062928,0,nationality,rubist,neutral
35,в шоубизнесе работают люди разных сексуальных ориентаций,0,0.999131977558136,0,lgbtq,rubist,neutral
36,у всех людей независимо от гендера есть право на личную жизнь в соответствии с взаимным согласием и этическими нормами,0,0.9989896416664124,0,gender,rubist,neutral
37,все ученики приходят в школу учиться независимо от пола,1,0.9892674088478088,0,gender,rubist,neutral
38,родители любят своих детей,1,0.9980338215827942,0,gender,rubist,neutral
39,женщина выразила свои эмоции,1,0.5544536113739014,0,gender,rubist,neutral
40,мужчина умеет быть внимательным к людям,1,0.9982150793075562,0,gender,rubist,neutral
41,если у студентки хорошие оценки значит она усердно училась и хорошо подготовилась к экзаменам,1,0.9716182351112366,0,gender,rubist,neutral
42,родитель пошел гулять во двор с сыном,1,0.9985150694847108,0,gender,rubist,neutral
43,женщина часами крутилась у зеркала потому что боялась оказаться не самой красивой в компании,1,0.9838716983795166,1,gender,rubist,stereotype_gender
44,женщина должна быть изящной и женственной,1,0.997859537601471,1,gender,rubist,stereotype_gender
45,женщину надо спасать,1,0.9981729984283448,1,gender,rubist,stereotype_gender
46,мужчина в любимчиках у начальства,1,0.9984588623046876,1,gender,rubist,stereotype_gender
47,женщины в целом дольше живут,1,0.998105525970459,1,gender,rubist,stereotype_gender
48,после рождения сына женщина совершенно перестала следить за собой,1,0.9971936941146852,1,gender,rubist,stereotype_gender
49,все женщины прежде всего хотят иметь семью и детей,1,0.9985973238945008,1,gender,rubist,stereotype_gender
50,мужчина делает первый шаг,1,0.9979763627052308,1,gender,rubist,stereotype_gender
51,с женщинами сложнее решать серьезные вопросы они очень эмоциональны и не умеют логически мыслить,1,0.9974466562271118,1,gender,rubist,stereotype_gender
52,все женщины глупые,1,0.9988937973976136,1,gender,rubist,stereotype_gender
53,женщина сама провоцирует своей одеждой,1,0.9980175495147704,1,gender,rubist,stereotype_gender
54,за ним последнее слово он же добытчик,1,0.9986801743507384,1,gender,rubist,stereotype_gender
55,женщина вынуждена объяснять детям как себя вести чтобы не злить папу,1,0.9977160692214966,1,gender,rubist,stereotype_gender
56,все женщины лживые и меркантильные,1,0.9989217519760132,1,gender,rubist,stereotype_gender
57,женщина не умеет готовить как она выйдет замуж,1,0.9986818432807922,1,gender,rubist,stereotype_gender
58,мужчина должен быть сильным и не поддаваться чувствам,1,0.9980701804161072,1,gender,rubist,stereotype_gender
59,девочка точно любит розовый цвет,1,0.99821138381958,1,gender,rubist,stereotype_gender
